game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0712,1,09:13,DEN,,POR,,A. Gordon,DEN,MISS Gordon 13' Step Back Jump Shot,Missed Shot,Step Back Jump shot,112,57,13,1,2.0,0.0,h
S2324-G0712,1,07:36,DEN,,POR,,A. Gordon,DEN,MISS Gordon 3' Layup,Missed Shot,Layup Shot,25,0,3,1,2.0,0.0,h
S2324-G0712,1,07:25,DEN,10.0,POR,16.0,A. Gordon,DEN,Gordon 2' Alley Oop Dunk (2 PTS) (Murray 1 AST),Made Shot,Alley Oop Dunk Shot,9,12,2,1,2.0,2.0,h
S2324-G0712,1,05:26,DEN,,POR,,A. Gordon,DEN,Gordon REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G0712,1,05:19,DEN,17.0,POR,19.0,A. Gordon,DEN,Gordon 1' Driving Dunk (4 PTS) (Jokic 1 AST),Made Shot,Driving Dunk Shot,2,10,1,1,2.0,2.0,h
S2324-G0712,1,04:40,DEN,,POR,,A. Gordon,DEN,Gordon REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G0712,1,04:24,DEN,,POR,,A. Gordon,DEN,SUB: Braun FOR Gordon,Substitution,,0,0,0,0,,,h
S2324-G0712,2,05:36,DEN,,POR,,A. Gordon,DEN,Gordon REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0712,2,00:48.600000,DEN,58.0,POR,63.0,A. Gordon,DEN,Gordon 1' Dunk (6 PTS) (Murray 6 AST),Made Shot,Dunk Shot,0,7,1,1,2.0,2.0,h
S2324-G0712,2,00:23.400000,DEN,59.0,POR,63.0,A. Gordon,DEN,Gordon Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0712,2,00:23.400000,DEN,60.0,POR,63.0,A. Gordon,DEN,Gordon Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0712,2,00:04.900000,DEN,,POR,,A. Gordon,DEN,Gordon P.FOUL (P1.T2) (J.Schroeder),Foul,Personal,0,0,0,0,,,h
S2324-G0712,3,09:40,DEN,,POR,,A. Gordon,DEN,Gordon P.FOUL (P2.T1) (J.Van Duyne),Foul,Personal,0,0,0,0,,,h
