game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1154,1,11:40,UTA,0.0,DEN,3.0,C. Braun,DEN,Braun 3PT Jump Shot (3 PTS) (Jokic 1 AST),Made Shot,Jump Shot,-229,-6,0,1,3.0,3.0,v
S2324-G1154,1,10:22,UTA,4.0,DEN,8.0,C. Braun,DEN,Braun 25' 3PT Jump Shot (6 PTS) (Murray 1 AST),Made Shot,Jump Shot,-2,250,25,1,3.0,3.0,v
S2324-G1154,1,08:01,UTA,4.0,DEN,16.0,C. Braun,DEN,Braun 3' Running Dunk (8 PTS) (Caldwell-Pope 3 AST),Made Shot,Running Dunk Shot,18,27,3,1,2.0,2.0,v
S2324-G1154,1,06:08,UTA,,DEN,,C. Braun,DEN,Braun REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G1154,1,01:36,UTA,,DEN,,C. Braun,DEN,SUB: Porter Jr. FOR Braun,Substitution,,0,0,0,0,,,v
S2324-G1154,2,05:44,UTA,,DEN,,C. Braun,DEN,Braun STEAL (1 STL),,,0,0,0,0,,,v
S2324-G1154,2,04:59,UTA,41.0,DEN,53.0,C. Braun,DEN,Braun 25' 3PT Jump Shot (11 PTS) (Jokic 3 AST),Made Shot,Jump Shot,-54,243,25,1,3.0,3.0,v
S2324-G1154,2,01:03,UTA,,DEN,,C. Braun,DEN,MISS Braun 24' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,-185,159,24,1,3.0,0.0,v
S2324-G1154,3,09:13,UTA,,DEN,,C. Braun,DEN,Braun L.B.FOUL (P1.T2) (J.Tiven),Foul,Loose Ball,0,0,0,0,,,v
S2324-G1154,3,06:27,UTA,,DEN,,C. Braun,DEN,MISS Braun 16' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-29,159,16,1,2.0,0.0,v
S2324-G1154,3,03:52,UTA,,DEN,,C. Braun,DEN,Braun STEAL (2 STL),,,0,0,0,0,,,v
S2324-G1154,3,02:19,UTA,,DEN,,C. Braun,DEN,SUB: Holiday FOR Braun,Substitution,,0,0,0,0,,,v
S2324-G1154,4,03:32,UTA,,DEN,,C. Braun,DEN,Braun REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G1154,4,01:55,UTA,,DEN,,C. Braun,DEN,SUB: Strawther FOR Braun,Substitution,,0,0,0,0,,,v
S2324-G0712,1,01:58,DEN,,POR,,C. Braun,DEN,Braun REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0712,2,06:42,DEN,,POR,,C. Braun,DEN,Braun REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0712,2,06:42,DEN,38.0,POR,44.0,C. Braun,DEN,Braun 13' Turnaround Fadeaway (2 PTS),Made Shot,Turnaround Fadeaway shot,121,33,13,1,2.0,2.0,h
S2324-G0712,2,06:42,DEN,39.0,POR,44.0,C. Braun,DEN,Braun Free Throw 1 of 1 (3 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2324-G0712,2,05:53,DEN,,POR,,C. Braun,DEN,MISS Braun 3' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,27,5,3,1,2.0,0.0,h
S2324-G0712,2,04:58,DEN,,POR,,C. Braun,DEN,SUB: Caldwell-Pope FOR Braun,Substitution,,0,0,0,0,,,h
