game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0933,1,03:04,DET,,CHA,,Q. Grimes,DET,Grimes REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0933,1,02:05,DET,,CHA,,Q. Grimes,DET,MISS Grimes 25' 3PT Jump Shot,Missed Shot,Jump Shot,-180,174,25,1,3.0,0.0,h
S2324-G0933,1,01:47,DET,,CHA,,Q. Grimes,DET,Grimes STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0933,1,00:18.400000,DET,,CHA,,Q. Grimes,DET,Grimes REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0933,1,00:05.200000,DET,,CHA,,Q. Grimes,DET,MISS Grimes 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-115,218,25,1,3.0,0.0,h
S2324-G0933,2,09:21,DET,41.0,CHA,29.0,Q. Grimes,DET,Grimes 2' Running Dunk (2 PTS) (Fontecchio 2 AST),Made Shot,Running Dunk Shot,16,16,2,1,2.0,2.0,h
S2324-G0933,2,08:37,DET,42.0,CHA,29.0,Q. Grimes,DET,Grimes Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0933,2,08:37,DET,43.0,CHA,29.0,Q. Grimes,DET,Grimes Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0933,2,08:11,DET,,CHA,,Q. Grimes,DET,MISS Grimes 3PT Jump Shot,Missed Shot,Jump Shot,-223,66,0,1,3.0,0.0,h
S2324-G0933,2,06:39,DET,,CHA,,Q. Grimes,DET,Grimes Out of Bounds - Bad Pass Turnover Turnover (P1.T5),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2324-G0933,2,05:23,DET,,CHA,,Q. Grimes,DET,MISS Grimes 25' 3PT Jump Shot,Missed Shot,Jump Shot,156,199,25,1,3.0,0.0,h
S2324-G0933,2,05:18,DET,,CHA,,Q. Grimes,DET,SUB: Cunningham FOR Grimes,Substitution,,0,0,0,0,,,h
S2324-G0933,3,03:16,DET,,CHA,,Q. Grimes,DET,Grimes REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0933,3,03:06,DET,,CHA,,Q. Grimes,DET,MISS Grimes 25' 3PT Jump Shot,Missed Shot,Jump Shot,235,75,25,1,3.0,0.0,h
S2324-G0933,3,01:28,DET,,CHA,,Q. Grimes,DET,Grimes REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0933,4,11:47,DET,,CHA,,Q. Grimes,DET,Grimes S.FOUL (P1.T1) (M.Myers),Foul,Shooting,0,0,0,0,,,h
S2324-G0933,4,11:35,DET,87.0,CHA,70.0,Q. Grimes,DET,Grimes Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0933,4,11:35,DET,88.0,CHA,70.0,Q. Grimes,DET,Grimes Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0933,4,11:03,DET,,CHA,,Q. Grimes,DET,MISS Grimes 19' Pullup Jump Shot,Missed Shot,Pullup Jump shot,63,175,19,1,2.0,0.0,h
S2324-G0933,4,10:51,DET,,CHA,,Q. Grimes,DET,Grimes FLAGRANT.FOUL.TYPE1 (P2.T4) (M.Myers),Foul,Flagrant Type 1,0,0,0,0,,,h
S2324-G0933,4,07:06,DET,,CHA,,Q. Grimes,DET,MISS Grimes 3PT Jump Shot,Missed Shot,Jump Shot,234,-19,0,1,3.0,0.0,h
S2324-G0933,4,06:41,DET,,CHA,,Q. Grimes,DET,SUB: Cunningham FOR Grimes,Substitution,,0,0,0,0,,,h
S2324-G0857,1,03:19,DET,22.0,CLE,23.0,Q. Grimes,DET,Grimes 13' Fadeaway Jumper (2 PTS),Made Shot,Fadeaway Jump Shot,-56,121,13,1,2.0,2.0,h
S2324-G0857,1,01:14,DET,,CLE,,Q. Grimes,DET,Grimes STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0857,1,01:09,DET,,CLE,,Q. Grimes,DET,Grimes Lost Ball Turnover (P1.T3),Turnover,Lost Ball,0,0,0,0,,,h
S2324-G0857,2,11:16,DET,,CLE,,Q. Grimes,DET,MISS Grimes 20' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-71,185,20,1,2.0,0.0,h
S2324-G0857,2,10:18,DET,,CLE,,Q. Grimes,DET,MISS Grimes 5' Driving Layup,Missed Shot,Driving Layup Shot,-21,49,5,1,2.0,0.0,h
S2324-G0857,2,09:46,DET,,CLE,,Q. Grimes,DET,SUB: Ivey FOR Grimes,Substitution,,0,0,0,0,,,h
S2324-G0857,3,05:35,DET,,CLE,,Q. Grimes,DET,MISS Grimes 25' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,176,184,25,1,3.0,0.0,h
S2324-G0857,3,00:04.700000,DET,,CLE,,Q. Grimes,DET,MISS Grimes 25' 3PT Jump Shot,Missed Shot,Jump Shot,-195,159,25,1,3.0,0.0,h
S2324-G0857,4,11:22,DET,,CLE,,Q. Grimes,DET,MISS Grimes 25' 3PT Jump Shot,Missed Shot,Jump Shot,-126,216,25,1,3.0,0.0,h
S2324-G0857,4,10:57,DET,,CLE,,Q. Grimes,DET,SUB: Fournier FOR Grimes,Substitution,,0,0,0,0,,,h
S2324-G0828,1,04:31,NYK,,DET,,Q. Grimes,DET,Grimes BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G0828,1,00:14,NYK,,DET,,Q. Grimes,DET,Grimes BLOCK (2 BLK),,,0,0,0,0,,,v
S2324-G0828,2,11:33,NYK,,DET,,Q. Grimes,DET,Grimes Traveling Turnover (P1.T5),Turnover,Traveling,0,0,0,0,,,v
S2324-G0828,2,11:06,NYK,,DET,,Q. Grimes,DET,MISS Grimes 3PT Jump Shot,Missed Shot,Jump Shot,234,3,0,1,3.0,0.0,v
S2324-G0828,2,10:25,NYK,,DET,,Q. Grimes,DET,MISS Grimes 2' Driving Layup,Missed Shot,Driving Layup Shot,-17,10,2,1,2.0,0.0,v
S2324-G0828,2,10:15,NYK,,DET,,Q. Grimes,DET,Grimes BLOCK (3 BLK),,,0,0,0,0,,,v
S2324-G0828,2,09:46,NYK,,DET,,Q. Grimes,DET,MISS Grimes 25' 3PT Jump Shot,Missed Shot,Jump Shot,-189,163,25,1,3.0,0.0,v
S2324-G0828,2,09:24,NYK,,DET,,Q. Grimes,DET,Grimes Lost Ball Turnover (P2.T6),Turnover,Lost Ball,0,0,0,0,,,v
S2324-G0828,2,09:04,NYK,,DET,,Q. Grimes,DET,SUB: Ivey FOR Grimes,Substitution,,0,0,0,0,,,v
S2324-G0828,3,02:45,NYK,,DET,,Q. Grimes,DET,Grimes S.FOUL (P1.T3) (J.Williams),Foul,Shooting,0,0,0,0,,,v
