game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0525,1,10:53,GSW,,NOP,,B. Podziemski,GSW,MISS Podziemski 22' Jump Shot,Missed Shot,Jump Shot,-218,-7,22,1,2.0,0.0,h
S2324-G0525,1,09:52,GSW,,NOP,,B. Podziemski,GSW,Podziemski REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0525,1,06:34,GSW,,NOP,,B. Podziemski,GSW,SUB: Moody FOR Podziemski,Substitution,,0,0,0,0,,,h
S2324-G0525,1,04:05,GSW,,NOP,,B. Podziemski,GSW,Podziemski REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0525,1,03:31,GSW,,NOP,,B. Podziemski,GSW,Podziemski REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0525,1,03:29,GSW,,NOP,,B. Podziemski,GSW,Podziemski Bad Pass Turnover (P1.T6),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G0525,1,02:58,GSW,,NOP,,B. Podziemski,GSW,Podziemski Backcourt Turnover (P2.T7),Turnover,Backcourt Turnover,0,0,0,0,,,h
S2324-G0525,2,11:24,GSW,,NOP,,B. Podziemski,GSW,Podziemski S.FOUL (P1.T1) (J.Goble),Foul,Shooting,0,0,0,0,,,h
S2324-G0525,2,09:48,GSW,,NOP,,B. Podziemski,GSW,Podziemski REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G0525,2,08:23,GSW,,NOP,,B. Podziemski,GSW,SUB: Looney FOR Podziemski,Substitution,,0,0,0,0,,,h
S2324-G0525,3,01:26,GSW,,NOP,,B. Podziemski,GSW,MISS Podziemski 13' Floating Jump Shot,Missed Shot,Floating Jump shot,-12,131,13,1,2.0,0.0,h
S2324-G0525,3,01:22,GSW,,NOP,,B. Podziemski,GSW,Podziemski REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G0525,4,04:34,GSW,,NOP,,B. Podziemski,GSW,Podziemski REBOUND (Off:1 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2324-G0525,4,04:23,GSW,,NOP,,B. Podziemski,GSW,Podziemski REBOUND (Off:2 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2324-G0525,4,03:38,GSW,,NOP,,B. Podziemski,GSW,MISS Podziemski 26' 3PT Jump Shot,Missed Shot,Jump Shot,36,262,26,1,3.0,0.0,h
S2324-G0525,4,02:33,GSW,,NOP,,B. Podziemski,GSW,Podziemski REBOUND (Off:3 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2324-G0525,4,01:47,GSW,,NOP,,B. Podziemski,GSW,MISS Podziemski 27' 3PT Jump Shot,Missed Shot,Jump Shot,74,259,27,1,3.0,0.0,h
S2324-G0525,4,01:18,GSW,,NOP,,B. Podziemski,GSW,MISS Podziemski 3' Driving Layup,Missed Shot,Driving Layup Shot,0,29,3,1,2.0,0.0,h
S2324-G0525,4,00:22.500000,GSW,,NOP,,B. Podziemski,GSW,Podziemski REBOUND (Off:3 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2324-G0525,4,00:19.800000,GSW,105.0,NOP,141.0,B. Podziemski,GSW,Podziemski 1' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,12,-1,1,1,2.0,2.0,h
S2324-G0899,1,09:16,GSW,10.0,MIL,8.0,B. Podziemski,GSW,Podziemski 29' 3PT Jump Bank Shot (3 PTS) (Kuminga 1 AST),Made Shot,Jump Bank Shot,-118,264,29,1,3.0,3.0,h
S2324-G0899,1,08:00,GSW,16.0,MIL,12.0,B. Podziemski,GSW,Podziemski 5' Driving Finger Roll Layup (5 PTS),Made Shot,Driving Finger Roll Layup Shot,-36,29,5,1,2.0,2.0,h
S2324-G0899,1,06:40,GSW,,MIL,,B. Podziemski,GSW,Podziemski REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0899,1,06:38,GSW,,MIL,,B. Podziemski,GSW,Podziemski Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G0899,1,05:58,GSW,,MIL,,B. Podziemski,GSW,Podziemski BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G0899,1,05:55,GSW,,MIL,,B. Podziemski,GSW,Podziemski REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0899,1,05:50,GSW,,MIL,,B. Podziemski,GSW,MISS Podziemski 27' 3PT Jump Shot,Missed Shot,Jump Shot,109,243,27,1,3.0,0.0,h
