game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0533,1,09:53,ATL,6.0,IND,5.0,B. Brown,IND,B. Brown 1' Driving Finger Roll Layup (2 PTS) (Nembhard 2 AST),Made Shot,Driving Finger Roll Layup Shot,2,13,1,1,2.0,2.0,v
S2324-G0533,1,08:32,ATL,,IND,,B. Brown,IND,B. Brown REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0533,1,07:12,ATL,,IND,,B. Brown,IND,B. Brown Out of Bounds Lost Ball Turnover (P1.T3),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,v
S2324-G0533,1,06:49,ATL,12.0,IND,15.0,B. Brown,IND,B. Brown 13' Pullup Jump Shot (4 PTS) (McConnell 2 AST),Made Shot,Pullup Jump shot,45,124,13,1,2.0,2.0,v
S2324-G0533,1,06:16,ATL,14.0,IND,18.0,B. Brown,IND,B. Brown 3PT Jump Shot (7 PTS) (McConnell 3 AST),Made Shot,Jump Shot,-230,46,0,1,3.0,3.0,v
S2324-G0533,1,06:00,ATL,,IND,,B. Brown,IND,SUB: Hield FOR B. Brown,Substitution,,0,0,0,0,,,v
S2324-G0533,2,01:11,ATL,,IND,,B. Brown,IND,MISS B. Brown 2' Driving Layup,Missed Shot,Driving Layup Shot,13,8,2,1,2.0,0.0,v
S2324-G0533,2,00:00.500000,ATL,62.0,IND,68.0,B. Brown,IND,B. Brown 5' Driving Layup (9 PTS),Made Shot,Driving Layup Shot,18,50,5,1,2.0,2.0,v
S2324-G0533,3,11:00,ATL,62.0,IND,71.0,B. Brown,IND,B. Brown 26' 3PT Running Pull-Up Jump Shot (12 PTS) (Nembhard 6 AST),Made Shot,Running Pull-Up Jump Shot,-112,235,26,1,3.0,3.0,v
S2324-G0533,3,09:59,ATL,,IND,,B. Brown,IND,MISS B. Brown 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,230,21,0,1,3.0,0.0,v
S2324-G0533,3,09:28,ATL,,IND,,B. Brown,IND,MISS B. Brown 2' Driving Layup,Missed Shot,Driving Layup Shot,6,21,2,1,2.0,0.0,v
S2324-G0533,3,08:13,ATL,,IND,,B. Brown,IND,B. Brown Lost Ball Turnover (P2.T13),Turnover,Lost Ball,0,0,0,0,,,v
S2324-G0533,3,05:12,ATL,,IND,,B. Brown,IND,MISS B. Brown 18' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-129,127,18,1,2.0,0.0,v
S2324-G0533,3,02:55,ATL,,IND,,B. Brown,IND,SUB: McConnell FOR B. Brown,Substitution,,0,0,0,0,,,v
S2324-G0118,1,10:34,BOS,,IND,,B. Brown,IND,Brown S.FOUL (P1.T1) (B.Taylor),Foul,Shooting,0,0,0,0,,,v
S2324-G0118,1,09:09,BOS,,IND,,B. Brown,IND,MISS Brown 27' 3PT Jump Shot,Missed Shot,Jump Shot,-169,205,27,1,3.0,0.0,v
S2324-G0118,1,07:16,BOS,,IND,,B. Brown,IND,MISS Brown 5' Driving Layup,Missed Shot,Driving Layup Shot,29,43,5,1,2.0,0.0,v
S2324-G0118,1,06:27,BOS,,IND,,B. Brown,IND,Brown STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0118,1,06:18,BOS,23.0,IND,14.0,B. Brown,IND,Brown 22' Pullup Jump Shot (2 PTS) (Turner 1 AST),Made Shot,Pullup Jump shot,91,204,22,1,2.0,2.0,v
S2324-G0118,1,05:52,BOS,,IND,,B. Brown,IND,Brown REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0118,1,03:48,BOS,,IND,,B. Brown,IND,MISS Brown Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2324-G0118,1,03:48,BOS,28.0,IND,21.0,B. Brown,IND,Brown Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G0118,1,00:50.400000,BOS,,IND,,B. Brown,IND,SUB: Mathurin FOR Brown,Substitution,,0,0,0,0,,,v
S2324-G0118,2,06:55,BOS,,IND,,B. Brown,IND,MISS Brown 27' 3PT Jump Shot,Missed Shot,Jump Shot,91,250,27,1,3.0,0.0,v
S2324-G0118,2,03:02,BOS,,IND,,B. Brown,IND,MISS Brown 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,169,204,26,1,3.0,0.0,v
S2324-G0118,3,09:48,BOS,,IND,,B. Brown,IND,MISS Brown 14' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-45,136,14,1,2.0,0.0,v
S2324-G0118,3,09:29,BOS,,IND,,B. Brown,IND,SUB: Nwora FOR Brown,Substitution,,0,0,0,0,,,v
S2324-G0180,1,07:06,PHI,19.0,IND,13.0,B. Brown,IND,Brown Driving Dunk (2 PTS),Made Shot,Driving Dunk Shot,1,0,0,1,2.0,2.0,v
S2324-G0180,1,06:07,PHI,,IND,,B. Brown,IND,SUB: Smith FOR Brown,Substitution,,0,0,0,0,,,v
