game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1230,1,04:37,LAL,,NOP,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1230,1,02:38,LAL,,NOP,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G1230,1,00:07.300000,LAL,,NOP,,J. Vanderbilt,LAL,SUB: Russell FOR Vanderbilt,Substitution,,0,0,0,0,,,h
S2324-G1230,3,05:26,LAL,,NOP,,J. Vanderbilt,LAL,Vanderbilt Violation:Defensive Goaltending (S.Foster),Violation,Defensive Goaltending,0,0,0,0,,,h
S2324-G1230,3,05:12,LAL,,NOP,,J. Vanderbilt,LAL,MISS Vanderbilt 2' Layup,Missed Shot,Layup Shot,-17,-15,2,1,2.0,0.0,h
S2324-G1230,3,02:19,LAL,,NOP,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G1230,3,00:45.700000,LAL,,NOP,,J. Vanderbilt,LAL,Vanderbilt BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G1230,3,00:36.600000,LAL,108.0,NOP,69.0,J. Vanderbilt,LAL,Vanderbilt 2' Running Dunk (2 PTS) (Reddish 2 AST),Made Shot,Running Dunk Shot,22,-1,2,1,2.0,2.0,h
S2324-G1230,4,11:37,LAL,,NOP,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G1230,4,10:41,LAL,,NOP,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2324-G1230,4,08:15,LAL,,NOP,,J. Vanderbilt,LAL,SUB: Hood-Schifino FOR Vanderbilt,Substitution,,0,0,0,0,,,h
S2324-G0591,1,02:22,LAL,31.0,BKN,23.0,J. Vanderbilt,LAL,Vanderbilt 1' Cutting Dunk Shot (2 PTS) (Reaves 3 AST),Made Shot,Cutting Dunk Shot,-7,0,1,1,2.0,2.0,h
S2324-G0591,1,01:17,LAL,,BKN,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0591,1,00:09.300000,LAL,,BKN,,J. Vanderbilt,LAL,SUB: Reaves FOR Vanderbilt,Substitution,,0,0,0,0,,,h
S2324-G0591,2,11:23,LAL,39.0,BKN,30.0,J. Vanderbilt,LAL,Vanderbilt 2' Layup (4 PTS) (Wood 1 AST),Made Shot,Layup Shot,6,22,2,1,2.0,2.0,h
S2324-G0591,2,06:35,LAL,,BKN,,J. Vanderbilt,LAL,SUB: Reaves FOR Vanderbilt,Substitution,,0,0,0,0,,,h
S2324-G0591,3,03:53,LAL,,BKN,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0591,3,03:08,LAL,84.0,BKN,93.0,J. Vanderbilt,LAL,Vanderbilt 3PT Jump Shot (7 PTS) (Reaves 5 AST),Made Shot,Jump Shot,228,32,0,1,3.0,3.0,h
S2324-G0591,3,02:36,LAL,,BKN,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0591,3,02:21,LAL,87.0,BKN,96.0,J. Vanderbilt,LAL,Vanderbilt 3PT Jump Shot (10 PTS) (Davis 6 AST),Made Shot,Jump Shot,228,20,0,1,3.0,3.0,h
S2324-G0591,3,00:06.500000,LAL,,BKN,,J. Vanderbilt,LAL,SUB: Reaves FOR Vanderbilt,Substitution,,0,0,0,0,,,h
S2324-G0591,4,10:58,LAL,,BKN,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G0591,4,10:07,LAL,93.0,BKN,105.0,J. Vanderbilt,LAL,Vanderbilt 4' Cutting Layup Shot (12 PTS) (James 5 AST),Made Shot,Cutting Layup Shot,-1,37,4,1,2.0,2.0,h
S2324-G0591,4,08:26,LAL,,BKN,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2324-G0591,4,06:51,LAL,,BKN,,J. Vanderbilt,LAL,SUB: Russell FOR Vanderbilt,Substitution,,0,0,0,0,,,h
S2324-G0505,1,04:23,LAL,,LAC,,J. Vanderbilt,LAL,Vanderbilt STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0505,1,02:24,LAL,,LAC,,J. Vanderbilt,LAL,MISS Vanderbilt 25' 3PT Jump Shot,Missed Shot,Jump Shot,235,96,25,1,3.0,0.0,h
S2324-G0505,2,08:04,LAL,,LAC,,J. Vanderbilt,LAL,SUB: Reaves FOR Vanderbilt,Substitution,,0,0,0,0,,,h
S2324-G0505,3,02:53,LAL,,LAC,,J. Vanderbilt,LAL,MISS Vanderbilt 12' Floating Jump Shot,Missed Shot,Floating Jump shot,-39,114,12,1,2.0,0.0,h
S2324-G0505,3,02:17,LAL,,LAC,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0505,4,11:40,LAL,,LAC,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0505,4,11:39,LAL,83.0,LAC,77.0,J. Vanderbilt,LAL,Vanderbilt Tip Layup Shot (2 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2324-G0505,4,08:51,LAL,,LAC,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0505,4,07:14,LAL,,LAC,,J. Vanderbilt,LAL,SUB: James FOR Vanderbilt,Substitution,,0,0,0,0,,,h
S2324-G0505,4,03:17,LAL,,LAC,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0505,4,03:15,LAL,,LAC,,J. Vanderbilt,LAL,Vanderbilt Lost Ball Turnover (P1.T19),Turnover,Lost Ball,0,0,0,0,,,h
S2324-G0505,4,02:19,LAL,,LAC,,J. Vanderbilt,LAL,SUB: Russell FOR Vanderbilt,Substitution,,0,0,0,0,,,h
S2324-G0397,1,09:45,OKC,,LAL,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0397,1,08:15,OKC,,LAL,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0397,1,07:17,OKC,,LAL,,J. Vanderbilt,LAL,Vanderbilt STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0397,1,07:13,OKC,,LAL,,J. Vanderbilt,LAL,Vanderbilt Out of Bounds - Bad Pass Turnover Turnover (P1.T1),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2324-G0397,1,06:50,OKC,,LAL,,J. Vanderbilt,LAL,SUB: Hachimura FOR Vanderbilt,Substitution,,0,0,0,0,,,v
S2324-G0397,2,09:47,OKC,,LAL,,J. Vanderbilt,LAL,Vanderbilt BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G0397,2,09:45,OKC,,LAL,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0397,2,05:52,OKC,,LAL,,J. Vanderbilt,LAL,SUB: Davis FOR Vanderbilt,Substitution,,0,0,0,0,,,v
S2324-G0397,3,08:17,OKC,,LAL,,J. Vanderbilt,LAL,MISS Vanderbilt 1' Layup,Missed Shot,Layup Shot,-7,-5,1,1,2.0,0.0,v
S2324-G0397,3,08:13,OKC,,LAL,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0397,3,07:36,OKC,,LAL,,J. Vanderbilt,LAL,MISS Vanderbilt 2' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,15,5,2,1,2.0,0.0,v
S2324-G0397,3,07:06,OKC,,LAL,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2324-G0397,3,05:40,OKC,,LAL,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:1 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2324-G0397,3,04:44,OKC,,LAL,,J. Vanderbilt,LAL,SUB: Russell FOR Vanderbilt,Substitution,,0,0,0,0,,,v
S2324-G0397,3,00:19.200000,OKC,89.0,LAL,107.0,J. Vanderbilt,LAL,Vanderbilt 3' Cutting Layup Shot (2 PTS) (Davis 7 AST),Made Shot,Cutting Layup Shot,-31,8,3,1,2.0,2.0,v
S2324-G0397,4,06:09,OKC,,LAL,,J. Vanderbilt,LAL,MISS Vanderbilt 24' 3PT Jump Shot,Missed Shot,Jump Shot,234,48,24,1,3.0,0.0,v
S2324-G0397,4,04:48,OKC,,LAL,,J. Vanderbilt,LAL,SUB: Reddish FOR Vanderbilt,Substitution,,0,0,0,0,,,v
S2324-G0380,1,05:55,MIN,,LAL,,J. Vanderbilt,LAL,MISS Vanderbilt 3PT Jump Shot,Missed Shot,Jump Shot,232,12,0,1,3.0,0.0,v
S2324-G0380,1,05:54,MIN,,LAL,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G0380,1,05:53,MIN,,LAL,,J. Vanderbilt,LAL,MISS Vanderbilt 1' Driving Layup,Missed Shot,Driving Layup Shot,10,10,1,1,2.0,0.0,v
S2324-G0380,1,04:08,MIN,,LAL,,J. Vanderbilt,LAL,MISS Vanderbilt 4' Running Layup,Missed Shot,Running Layup Shot,-13,34,4,1,2.0,0.0,v
S2324-G0380,1,02:28,MIN,,LAL,,J. Vanderbilt,LAL,SUB: Prince FOR Vanderbilt,Substitution,,0,0,0,0,,,v
S2324-G0380,2,05:44,MIN,,LAL,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0380,2,04:50,MIN,,LAL,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0380,2,04:28,MIN,,LAL,,J. Vanderbilt,LAL,Vanderbilt S.FOUL (P1.T4) (A.Nagy),Foul,Shooting,0,0,0,0,,,v
S2324-G0380,2,03:53,MIN,,LAL,,J. Vanderbilt,LAL,Vanderbilt S.FOUL (P2.PN) (S.Corbin),Foul,Shooting,0,0,0,0,,,v
S2324-G0380,2,02:43,MIN,,LAL,,J. Vanderbilt,LAL,SUB: Reaves FOR Vanderbilt,Substitution,,0,0,0,0,,,v
S2324-G0380,3,06:04,MIN,,LAL,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0380,3,04:57,MIN,,LAL,,J. Vanderbilt,LAL,Vanderbilt S.FOUL (P3.PN) (A.Nagy),Foul,Shooting,0,0,0,0,,,v
S2324-G0380,3,04:55,MIN,,LAL,,J. Vanderbilt,LAL,Vanderbilt REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2324-G0549,2,01:54,UTA,,LAL,,J. Vanderbilt,LAL,Vanderbilt S.FOUL (P1.T2) (J.Van Duyne),Foul,Shooting,0,0,0,0,,,v
S2324-G0549,2,00:51.500000,UTA,,LAL,,J. Vanderbilt,LAL,Vanderbilt S.FOUL (P2.PN) (S.Twardoski),Foul,Shooting,0,0,0,0,,,v
S2324-G0549,2,00:34.200000,UTA,,LAL,,J. Vanderbilt,LAL,SUB: Wood FOR Vanderbilt,Substitution,,0,0,0,0,,,v
S2324-G0549,3,04:56,UTA,,LAL,,J. Vanderbilt,LAL,Vanderbilt P.FOUL (P3.PN) (S.Twardoski),Foul,Personal,0,0,0,0,,,v
S2324-G0549,3,03:53,UTA,91.0,LAL,87.0,J. Vanderbilt,LAL,Vanderbilt 3PT Jump Shot (3 PTS) (Mays 1 AST),Made Shot,Jump Shot,234,21,0,1,3.0,3.0,v
S2324-G0549,3,03:38,UTA,,LAL,,J. Vanderbilt,LAL,Vanderbilt STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0549,3,03:34,UTA,,LAL,,J. Vanderbilt,LAL,Vanderbilt Lost Ball Turnover (P1.T8),Turnover,Lost Ball,0,0,0,0,,,v
