game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0790,2,11:18,MEM,,MIL,,Y. Watanabe,MEM,Watanabe REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0790,2,10:14,MEM,,MIL,,Y. Watanabe,MEM,MISS Watanabe 10' Pullup Jump Shot,Missed Shot,Pullup Jump shot,86,57,10,1,2.0,0.0,h
S2324-G0790,2,05:34,MEM,,MIL,,Y. Watanabe,MEM,MISS Watanabe 3PT Jump Shot,Missed Shot,Jump Shot,233,13,0,1,3.0,0.0,h
S2324-G0790,2,03:49,MEM,,MIL,,Y. Watanabe,MEM,SUB: Williams Jr. FOR Watanabe,Substitution,,0,0,0,0,,,h
S2324-G0861,2,11:43,,,POR,,Y. Watanabe,MEM,MISS Watanabe 6' Driving Layup,Missed Shot,Driving Layup Shot,48,27,6,1,2.0,0.0,h
S2324-G0861,2,07:46,,,POR,,Y. Watanabe,MEM,Watanabe S.FOUL (P1.T2) (R.Hussey),Foul,Shooting,0,0,0,0,,,h
S2324-G0861,2,06:56,,,POR,,Y. Watanabe,MEM,SUB: Williams FOR Watanabe,Substitution,,0,0,0,0,,,h
S2324-G0861,4,09:26,,,POR,,Y. Watanabe,MEM,Watanabe S.FOUL (P2.T2) (A.Nagy),Foul,Shooting,0,0,0,0,,,h
S2324-G0861,4,05:54,,,POR,,Y. Watanabe,MEM,Watanabe STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0861,4,05:45,,,POR,,Y. Watanabe,MEM,Watanabe Out of Bounds - Bad Pass Turnover Turnover (P1.T20),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2324-G0861,4,02:25,,,POR,,Y. Watanabe,MEM,Watanabe REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0861,4,02:19,,,POR,,Y. Watanabe,MEM,Watanabe Bad Pass Turnover (P2.T22),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G0861,4,01:59,,,POR,,Y. Watanabe,MEM,MISS Watanabe Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2324-G0861,4,01:59,,,POR,,Y. Watanabe,MEM,MISS Watanabe Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2324-G0830,2,09:30,MEM,,BKN,,Y. Watanabe,MEM,MISS Watanabe 16' Jump Shot,Missed Shot,Jump Shot,26,159,16,1,2.0,0.0,h
