game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0708,1,11:41,MIA,,LAC,,H. Highsmith,MIA,MISS Highsmith 26' 3PT Jump Shot,Missed Shot,Jump Shot,157,206,26,1,3.0,0.0,h
S2324-G0708,1,10:19,MIA,,LAC,,H. Highsmith,MIA,Highsmith P.FOUL (P1.T1) (J.Goble),Foul,Personal,0,0,0,0,,,h
S2324-G0708,1,06:45,MIA,16.0,LAC,5.0,H. Highsmith,MIA,Highsmith 24' 3PT Jump Shot (3 PTS) (Rozier 1 AST),Made Shot,Jump Shot,-237,-20,24,1,3.0,3.0,h
S2324-G0708,1,04:20,MIA,,LAC,,H. Highsmith,MIA,MISS Highsmith 5' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,44,26,5,1,2.0,0.0,h
S2324-G0708,1,04:16,MIA,,LAC,,H. Highsmith,MIA,SUB: Martin FOR Highsmith,Substitution,,0,0,0,0,,,h
S2324-G0708,2,11:33,MIA,,LAC,,H. Highsmith,MIA,Highsmith REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0708,2,10:20,MIA,,LAC,,H. Highsmith,MIA,MISS Highsmith 25' 3PT Jump Shot,Missed Shot,Jump Shot,154,195,25,1,3.0,0.0,h
S2324-G0708,2,06:02,MIA,,LAC,,H. Highsmith,MIA,Highsmith REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0708,2,05:31,MIA,,LAC,,H. Highsmith,MIA,SUB: Butler FOR Highsmith,Substitution,,0,0,0,0,,,h
S2324-G0708,3,11:43,MIA,,LAC,,H. Highsmith,MIA,Highsmith S.FOUL (P2.T1) (B.Nansel),Foul,Shooting,0,0,0,0,,,h
S2324-G0708,3,10:21,MIA,,LAC,,H. Highsmith,MIA,Highsmith P.FOUL (P3.T2) (R.Acosta),Foul,Personal,0,0,0,0,,,h
S2324-G0708,3,07:58,MIA,,LAC,,H. Highsmith,MIA,Highsmith STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0708,3,04:27,MIA,,LAC,,H. Highsmith,MIA,SUB: Martin FOR Highsmith,Substitution,,0,0,0,0,,,h
S2324-G0708,4,10:24,MIA,72.0,LAC,71.0,H. Highsmith,MIA,Highsmith 2' Running Finger Roll Layup (5 PTS) (Rozier 4 AST),Made Shot,Running Finger Roll Layup Shot,-9,16,2,1,2.0,2.0,h
S2324-G0708,4,09:52,MIA,,LAC,,H. Highsmith,MIA,Highsmith S.FOUL (P4.T3) (R.Acosta),Foul,Shooting,0,0,0,0,,,h
S2324-G0708,4,09:21,MIA,,LAC,,H. Highsmith,MIA,Highsmith REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0708,4,09:00,MIA,,LAC,,H. Highsmith,MIA,Highsmith P.FOUL (P5.T4) (B.Nansel),Foul,Personal,0,0,0,0,,,h
