game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0899,1,03:40,GSW,,MIL,,B. Portis,MIL,Portis REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0899,1,03:33,GSW,28.0,MIL,23.0,B. Portis,MIL,Portis 15' Running Pull-Up Jump Shot (2 PTS),Made Shot,Running Pull-Up Jump Shot,-126,88,15,1,2.0,2.0,v
S2324-G0899,1,02:37,GSW,30.0,MIL,25.0,B. Portis,MIL,Portis 16' Jump Shot (4 PTS) (Connaughton 1 AST),Made Shot,Jump Shot,164,15,16,1,2.0,2.0,v
S2324-G0899,1,01:46,GSW,,MIL,,B. Portis,MIL,Portis REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0899,1,01:01,GSW,35.0,MIL,27.0,B. Portis,MIL,Portis 7' Driving Finger Roll Layup (6 PTS) (Lillard 3 AST),Made Shot,Driving Finger Roll Layup Shot,23,68,7,1,2.0,2.0,v
S2324-G0899,1,00:36.600000,GSW,37.0,MIL,28.0,B. Portis,MIL,Portis Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0899,1,00:36.600000,GSW,37.0,MIL,29.0,B. Portis,MIL,Portis Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G0899,1,00:06.700000,GSW,40.0,MIL,32.0,B. Portis,MIL,Portis 28' 3PT Jump Shot (11 PTS) (Lillard 4 AST),Made Shot,Jump Shot,108,253,28,1,3.0,3.0,v
S2324-G0899,2,11:24,GSW,,MIL,,B. Portis,MIL,MISS Portis 7' Driving Hook Shot,Missed Shot,Driving Hook Shot,25,62,7,1,2.0,0.0,v
S2324-G0899,2,09:41,GSW,50.0,MIL,35.0,B. Portis,MIL,Portis 3' Dunk (13 PTS) (Connaughton 2 AST),Made Shot,Dunk Shot,-4,25,3,1,2.0,2.0,v
S2324-G0899,2,07:20,GSW,52.0,MIL,42.0,B. Portis,MIL,Portis 4' Finger Roll Layup (15 PTS) (Connaughton 3 AST),Made Shot,Finger Roll Layup Shot,36,13,4,1,2.0,2.0,v
S2324-G0899,2,06:55,GSW,55.0,MIL,45.0,B. Portis,MIL,Portis 25' 3PT Jump Shot (18 PTS) (G. Antetokounmpo 1 AST),Made Shot,Jump Shot,-48,243,25,1,3.0,3.0,v
S2324-G0899,2,06:25,GSW,,MIL,,B. Portis,MIL,Portis OFF.Foul (P1) (G.Petraitis),Foul,Offensive,0,0,0,0,,,v
S2324-G0899,2,06:25,GSW,,MIL,,B. Portis,MIL,Portis Offensive Foul Turnover (P1.T5),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2324-G0899,2,04:35,GSW,,MIL,,B. Portis,MIL,Portis REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0899,2,01:21,GSW,,MIL,,B. Portis,MIL,MISS Portis 24' 3PT Jump Shot,Missed Shot,Jump Shot,-230,52,24,1,3.0,0.0,v
