game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0041,4,01:23,PHX,,POR,,J. Bouyea,POR,Bouyea Bad Pass Turnover (P1.T13),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0041,4,00:52.500000,PHX,,POR,,J. Bouyea,POR,Bouyea REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0187,2,11:05,LAL,,POR,,J. Bouyea,POR,Bouyea REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0187,2,10:48,LAL,,POR,,J. Bouyea,POR,Bouyea REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0187,2,09:07,LAL,33.0,POR,37.0,J. Bouyea,POR,Bouyea 7' Driving Floating Bank Jump Shot (2 PTS),Made Shot,Driving Floating Bank Jump Shot,60,36,7,1,2.0,2.0,v
S2324-G0187,2,07:19,LAL,,POR,,J. Bouyea,POR,SUB: Thybulle FOR Bouyea,Substitution,,0,0,0,0,,,v
S2324-G0187,3,10:48,LAL,,POR,,J. Bouyea,POR,Bouyea REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0187,3,09:53,LAL,59.0,POR,63.0,J. Bouyea,POR,Bouyea 19' Step Back Jump Shot (4 PTS),Made Shot,Step Back Jump shot,88,167,19,1,2.0,2.0,v
S2324-G0187,3,08:13,LAL,,POR,,J. Bouyea,POR,MISS Bouyea 25' 3PT Jump Shot,Missed Shot,Jump Shot,191,166,25,1,3.0,0.0,v
S2324-G0187,3,07:58,LAL,66.0,POR,68.0,J. Bouyea,POR,Bouyea 2' Running Finger Roll Layup (6 PTS) (Thybulle 3 AST),Made Shot,Running Finger Roll Layup Shot,20,-1,2,1,2.0,2.0,v
S2324-G0187,3,07:30,LAL,,POR,,J. Bouyea,POR,MISS Bouyea 3' Driving Layup,Missed Shot,Driving Layup Shot,21,16,3,1,2.0,0.0,v
S2324-G0187,3,07:16,LAL,,POR,,J. Bouyea,POR,Bouyea Out of Bounds Lost Ball Turnover (P1.T10),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,v
S2324-G0187,3,05:20,LAL,,POR,,J. Bouyea,POR,MISS Bouyea 7' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,64,24,7,1,2.0,0.0,v
S2324-G0187,3,05:17,LAL,,POR,,J. Bouyea,POR,Bouyea REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0187,3,03:41,LAL,,POR,,J. Bouyea,POR,SUB: Mays FOR Bouyea,Substitution,,0,0,0,0,,,v
S2324-G0215,3,00:26.300000,POR,,OKC,,J. Bouyea,POR,Bouyea REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0215,3,00:06.300000,POR,,OKC,,J. Bouyea,POR,MISS Bouyea 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,44,258,26,1,3.0,0.0,h
S2324-G0215,4,07:26,POR,,OKC,,J. Bouyea,POR,MISS Bouyea 25' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,125,211,25,1,3.0,0.0,h
S2324-G0215,4,06:15,POR,,OKC,,J. Bouyea,POR,Bouyea Out of Bounds Lost Ball Turnover (P1.T18),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2324-G0215,4,04:36,POR,,OKC,,J. Bouyea,POR,Bouyea Bad Pass Turnover (P2.T19),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G0215,4,03:31,POR,,OKC,,J. Bouyea,POR,MISS Bouyea 10' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-9,99,10,1,2.0,0.0,h
