game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1226,2,11:02,POR,,DAL,,K. Murray,POR,MISS Murray 26' 3PT Jump Shot,Missed Shot,Jump Shot,-170,202,26,1,3.0,0.0,h
S2324-G1226,2,07:57,POR,,DAL,,K. Murray,POR,Murray REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1226,2,06:58,POR,,DAL,,K. Murray,POR,Murray REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G1226,2,05:36,POR,,DAL,,K. Murray,POR,SUB: Thybulle FOR Murray,Substitution,,0,0,0,0,,,h
S2324-G1226,3,05:50,POR,,DAL,,K. Murray,POR,Murray REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G1226,3,05:21,POR,76.0,DAL,86.0,K. Murray,POR,Murray 10' Turnaround Hook Shot (2 PTS) (Simons 5 AST),Made Shot,Turnaround Hook Shot,15,101,10,1,2.0,2.0,h
S2324-G1226,3,01:45,POR,,DAL,,K. Murray,POR,MISS Murray 6' Alley Oop Layup,Missed Shot,Alley Oop Layup shot,26,52,6,1,2.0,0.0,h
S2324-G1226,3,01:42,POR,,DAL,,K. Murray,POR,Murray REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G1226,3,01:42,POR,,DAL,,K. Murray,POR,MISS Murray 4' Tip Layup Shot,Missed Shot,Tip Layup Shot,-26,27,4,1,2.0,0.0,h
S2324-G1226,3,01:19,POR,85.0,DAL,95.0,K. Murray,POR,Murray 25' 3PT Jump Shot (5 PTS) (Simons 7 AST),Made Shot,Jump Shot,-164,188,25,1,3.0,3.0,h
S2324-G1226,3,00:43.600000,POR,,DAL,,K. Murray,POR,MISS Murray 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-118,216,25,1,3.0,0.0,h
S2324-G1226,4,11:06,POR,,DAL,,K. Murray,POR,Murray REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G1226,4,08:33,POR,,DAL,,K. Murray,POR,Murray STEAL (1 STL),,,0,0,0,0,,,h
S2324-G1226,4,06:52,POR,,DAL,,K. Murray,POR,SUB: Sharpe FOR Murray,Substitution,,0,0,0,0,,,h
S2324-G0323,3,03:01,POR,,UTA,,K. Murray,POR,Murray REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G0323,3,02:57,POR,,UTA,,K. Murray,POR,MISS Murray 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,150,212,26,1,3.0,0.0,h
S2324-G0323,3,00:40.300000,POR,,UTA,,K. Murray,POR,MISS Murray 4' Driving Layup,Missed Shot,Driving Layup Shot,-36,21,4,1,2.0,0.0,h
S2324-G0323,3,00:11.500000,POR,,UTA,,K. Murray,POR,Murray BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G0323,4,11:41,POR,,UTA,,K. Murray,POR,Murray STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0323,4,11:06,POR,,UTA,,K. Murray,POR,MISS Murray 24' 3PT Jump Shot,Missed Shot,Jump Shot,217,104,24,1,3.0,0.0,h
S2324-G0323,4,08:56,POR,,UTA,,K. Murray,POR,MISS Murray 3' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,-29,1,3,1,2.0,0.0,h
S2324-G0323,4,07:18,POR,,UTA,,K. Murray,POR,Murray REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G0323,4,06:36,POR,,UTA,,K. Murray,POR,Murray REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0323,4,06:27,POR,90.0,UTA,113.0,K. Murray,POR,Murray 24' 3PT Jump Shot (3 PTS) (Henderson 7 AST),Made Shot,Jump Shot,222,97,24,1,3.0,3.0,h
S2324-G0323,4,05:44,POR,,UTA,,K. Murray,POR,Murray REBOUND (Off:3 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0323,4,03:19,POR,,UTA,,K. Murray,POR,MISS Murray 28' 3PT Jump Shot,Missed Shot,Jump Shot,-123,252,28,1,3.0,0.0,h
S2324-G0323,4,02:06,POR,103.0,UTA,122.0,K. Murray,POR,Murray 3PT Jump Shot (6 PTS) (Henderson 9 AST),Made Shot,Jump Shot,223,2,0,1,3.0,3.0,h
S2324-G0323,4,01:14,POR,,UTA,,K. Murray,POR,Murray STEAL (2 STL),,,0,0,0,0,,,h
S2324-G0323,4,00:30.800000,POR,,UTA,,K. Murray,POR,Murray REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0323,4,00:26.900000,POR,,UTA,,K. Murray,POR,Jump Ball Murray vs. Potter: Tip to Walker,Jump Ball,,0,0,0,0,,,h
S2324-G0641,2,11:39,SAS,,POR,,K. Murray,POR,Murray S.FOUL (P1.T1) (G.Petraitis),Foul,Shooting,0,0,0,0,,,v
S2324-G0641,2,11:14,SAS,,POR,,K. Murray,POR,MISS Murray 3PT Jump Shot,Missed Shot,Jump Shot,227,19,0,1,3.0,0.0,v
S2324-G0641,2,09:31,SAS,,POR,,K. Murray,POR,MISS Murray 3PT Jump Shot,Missed Shot,Jump Shot,-228,-1,0,1,3.0,0.0,v
S2324-G0641,2,08:02,SAS,,POR,,K. Murray,POR,Murray P.FOUL (P2.T3) (R.Hussey),Foul,Personal,0,0,0,0,,,v
S2324-G0641,2,06:46,SAS,,POR,,K. Murray,POR,Murray S.FOUL (P3.T4) (R.Hussey),Foul,Shooting,0,0,0,0,,,v
S2324-G0641,2,06:46,SAS,,POR,,K. Murray,POR,SUB: Camara FOR Murray,Substitution,,0,0,0,0,,,v
S2324-G0641,3,06:47,SAS,,POR,,K. Murray,POR,Murray REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0641,3,06:13,SAS,,POR,,K. Murray,POR,MISS Murray 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-230,17,0,1,3.0,0.0,v
S2324-G0641,3,04:42,SAS,,POR,,K. Murray,POR,MISS Murray 24' 3PT Jump Shot,Missed Shot,Jump Shot,-233,34,24,1,3.0,0.0,v
S2324-G0641,3,04:24,SAS,,POR,,K. Murray,POR,MISS Murray 24' 3PT Jump Shot,Missed Shot,Jump Shot,-237,17,24,1,3.0,0.0,v
S2324-G0641,3,03:27,SAS,,POR,,K. Murray,POR,MISS Murray 3' Driving Layup,Missed Shot,Driving Layup Shot,-17,22,3,1,2.0,0.0,v
S2324-G0641,3,02:08,SAS,85.0,POR,72.0,K. Murray,POR,Murray 2' Driving Dunk (2 PTS) (Rupert 1 AST),Made Shot,Driving Dunk Shot,13,13,2,1,2.0,2.0,v
S2324-G0641,3,02:08,SAS,,POR,,K. Murray,POR,MISS Murray Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,v
S2324-G0641,3,01:13,SAS,,POR,,K. Murray,POR,Murray STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0641,4,11:31,SAS,,POR,,K. Murray,POR,Murray REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0641,4,11:29,SAS,,POR,,K. Murray,POR,MISS Murray 26' 3PT Jump Shot,Missed Shot,Jump Shot,143,212,26,1,3.0,0.0,v
S2324-G0641,4,08:48,SAS,,POR,,K. Murray,POR,MISS Murray 3' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,-16,29,3,1,2.0,0.0,v
S2324-G0641,4,08:41,SAS,,POR,,K. Murray,POR,SUB: Walker FOR Murray,Substitution,,0,0,0,0,,,v
S2324-G0529,2,11:37,OKC,,POR,,K. Murray,POR,MISS Murray 3' Driving Layup,Missed Shot,Driving Layup Shot,-17,28,3,1,2.0,0.0,v
S2324-G0529,2,11:33,OKC,,POR,,K. Murray,POR,Murray REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G0529,2,11:33,OKC,36.0,POR,26.0,K. Murray,POR,Murray Tip Layup Shot (2 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,v
S2324-G0529,2,10:31,OKC,,POR,,K. Murray,POR,MISS Murray 3PT Jump Shot,Missed Shot,Jump Shot,229,-15,0,1,3.0,0.0,v
S2324-G0529,2,08:02,OKC,,POR,,K. Murray,POR,SUB: Camara FOR Murray,Substitution,,0,0,0,0,,,v
S2324-G0529,3,04:23,OKC,,POR,,K. Murray,POR,Murray REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0529,3,03:50,OKC,,POR,,K. Murray,POR,MISS Murray 3PT Jump Shot,Missed Shot,Jump Shot,233,-6,0,1,3.0,0.0,v
S2324-G0529,3,03:26,OKC,,POR,,K. Murray,POR,Murray STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0529,3,03:23,OKC,105.0,POR,54.0,K. Murray,POR,Murray Driving Dunk (4 PTS),Made Shot,Driving Dunk Shot,0,-2,0,1,2.0,2.0,v
S2324-G0529,4,11:10,OKC,,POR,,K. Murray,POR,Murray REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0529,4,10:30,OKC,118.0,POR,63.0,K. Murray,POR,Murray 26' 3PT Jump Shot (7 PTS) (Rupert 1 AST),Made Shot,Jump Shot,-102,243,26,1,3.0,3.0,v
S2324-G0529,4,09:05,OKC,,POR,,K. Murray,POR,MISS Murray 3PT Jump Shot,Missed Shot,Jump Shot,233,11,0,1,3.0,0.0,v
S2324-G0529,4,05:05,OKC,,POR,,K. Murray,POR,MISS Murray 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,237,89,25,1,3.0,0.0,v
S2324-G0529,4,05:01,OKC,,POR,,K. Murray,POR,Murray REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0529,4,04:59,OKC,133.0,POR,75.0,K. Murray,POR,Murray Driving Layup (9 PTS),Made Shot,Driving Layup Shot,1,1,0,1,2.0,2.0,v
S2324-G0529,4,03:00,OKC,,POR,,K. Murray,POR,Murray REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0529,4,02:16,OKC,,POR,,K. Murray,POR,MISS Murray 14' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,70,120,14,1,2.0,0.0,v
S2324-G0712,1,11:17,DEN,,POR,,K. Murray,POR,Murray STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0712,1,11:11,DEN,0.0,POR,5.0,K. Murray,POR,Murray 3' Running Layup (2 PTS),Made Shot,Running Layup Shot,27,4,3,1,2.0,2.0,v
S2324-G0712,1,07:49,DEN,8.0,POR,16.0,K. Murray,POR,Murray 2' Cutting Layup Shot (4 PTS) (Ayton 1 AST),Made Shot,Cutting Layup Shot,-20,1,2,1,2.0,2.0,v
S2324-G0712,1,07:05,DEN,,POR,,K. Murray,POR,Murray Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0712,1,06:07,DEN,,POR,,K. Murray,POR,MISS Murray 2' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,-18,8,2,1,2.0,0.0,v
S2324-G0712,1,05:48,DEN,,POR,,K. Murray,POR,SUB: Henderson FOR Murray,Substitution,,0,0,0,0,,,v
S2324-G0712,2,03:53,DEN,,POR,,K. Murray,POR,Murray S.FOUL (P1.PN) (J.Schroeder),Foul,Shooting,0,0,0,0,,,v
S2324-G0712,2,02:47,DEN,,POR,,K. Murray,POR,Murray S.FOUL (P2.PN) (E.Malloy),Foul,Shooting,0,0,0,0,,,v
S2324-G0712,2,02:47,DEN,,POR,,K. Murray,POR,SUB: Henderson FOR Murray,Substitution,,0,0,0,0,,,v
S2324-G0712,3,09:18,DEN,,POR,,K. Murray,POR,Murray REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0712,3,09:09,DEN,67.0,POR,69.0,K. Murray,POR,Murray 2' Driving Layup (6 PTS) (Ayton 3 AST),Made Shot,Driving Layup Shot,-21,13,2,1,2.0,2.0,v
S2324-G0712,3,07:10,DEN,,POR,,K. Murray,POR,Murray Out of Bounds - Bad Pass Turnover Turnover (P2.T6),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2324-G0712,3,05:48,DEN,,POR,,K. Murray,POR,SUB: Camara FOR Murray,Substitution,,0,0,0,0,,,v
S2324-G0712,3,02:05,DEN,,POR,,K. Murray,POR,Murray BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G0712,4,11:42,DEN,,POR,,K. Murray,POR,MISS Murray 27' 3PT Jump Shot,Missed Shot,Jump Shot,93,252,27,1,3.0,0.0,v
