game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0358,4,02:10,SAC,,WAS,,D. Mitchell,SAC,MISS Mitchell 4' Driving Layup,Missed Shot,Driving Layup Shot,-39,13,4,1,2.0,0.0,h
S2324-G0358,4,00:12.500000,SAC,143.0,WAS,131.0,D. Mitchell,SAC,Mitchell 11' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,103,50,11,1,2.0,2.0,h
S2324-G0358,4,00:01.800000,SAC,,WAS,,D. Mitchell,SAC,Mitchell REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0476,1,03:15,SAC,,ORL,,D. Mitchell,SAC,MISS Mitchell 24' 3PT Jump Shot,Missed Shot,Jump Shot,237,46,24,1,3.0,0.0,h
S2324-G0476,1,02:19,SAC,,ORL,,D. Mitchell,SAC,SUB: McGee FOR Mitchell,Substitution,,0,0,0,0,,,h
S2324-G0476,2,07:12,SAC,,ORL,,D. Mitchell,SAC,Mitchell Step Out of Bounds Turnover (P1.T6),Turnover,Step Out of Bounds Turnover,0,0,0,0,,,h
S2324-G0476,2,04:12,SAC,59.0,ORL,44.0,D. Mitchell,SAC,Mitchell 2' Running Layup (2 PTS) (Monk 3 AST),Made Shot,Running Layup Shot,17,-4,2,1,2.0,2.0,h
S2324-G0476,2,03:41,SAC,,ORL,,D. Mitchell,SAC,Mitchell Lost Ball Turnover (P2.T7),Turnover,Lost Ball,0,0,0,0,,,h
S2324-G0476,2,03:28,SAC,,ORL,,D. Mitchell,SAC,SUB: Fox FOR Mitchell,Substitution,,0,0,0,0,,,h
S2324-G0476,3,03:43,SAC,,ORL,,D. Mitchell,SAC,MISS Mitchell 26' 3PT Jump Shot,Missed Shot,Jump Shot,-159,204,26,1,3.0,0.0,h
S2324-G0476,3,02:49,SAC,,ORL,,D. Mitchell,SAC,SUB: McGee FOR Mitchell,Substitution,,0,0,0,0,,,h
S2324-G0476,4,06:50,SAC,,ORL,,D. Mitchell,SAC,Mitchell REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0476,4,06:31,SAC,,ORL,,D. Mitchell,SAC,SUB: Fox FOR Mitchell,Substitution,,0,0,0,0,,,h
S2324-G0732,1,02:37,SAC,26.0,DET,25.0,D. Mitchell,SAC,Mitchell Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0732,1,02:37,SAC,27.0,DET,25.0,D. Mitchell,SAC,Mitchell Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0732,1,01:13,SAC,,DET,,D. Mitchell,SAC,Mitchell S.FOUL (P1.T4) (S.Wright),Foul,Shooting,0,0,0,0,,,h
S2324-G0732,1,00:39.600000,SAC,,DET,,D. Mitchell,SAC,Mitchell REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0732,1,00:35.400000,SAC,36.0,DET,29.0,D. Mitchell,SAC,Mitchell 2' Running Layup (4 PTS),Made Shot,Running Layup Shot,-9,13,2,1,2.0,2.0,h
S2324-G0732,2,08:28,SAC,46.0,DET,40.0,D. Mitchell,SAC,Mitchell 2' Driving Layup (6 PTS) (Monk 3 AST),Made Shot,Driving Layup Shot,-12,13,2,1,2.0,2.0,h
S2324-G0732,2,06:08,SAC,,DET,,D. Mitchell,SAC,MISS Mitchell 3PT Jump Shot,Missed Shot,Jump Shot,224,22,0,1,3.0,0.0,h
S2324-G0732,2,05:40,SAC,,DET,,D. Mitchell,SAC,SUB: Fox FOR Mitchell,Substitution,,0,0,0,0,,,h
S2324-G0732,3,01:16,SAC,94.0,DET,95.0,D. Mitchell,SAC,Mitchell 26' 3PT Jump Shot (9 PTS) (Monk 8 AST),Made Shot,Jump Shot,-175,188,26,1,3.0,3.0,h
S2324-G0732,4,11:38,SAC,,DET,,D. Mitchell,SAC,Mitchell P.FOUL (P2.T1) (S.Wright),Foul,Personal,0,0,0,0,,,h
S2324-G0732,4,10:35,SAC,,DET,,D. Mitchell,SAC,Mitchell S.FOUL (P3.T2) (D.Scott),Foul,Shooting,0,0,0,0,,,h
S2324-G0732,4,09:01,SAC,,DET,,D. Mitchell,SAC,SUB: Sabonis FOR Mitchell,Substitution,,0,0,0,0,,,h
S2324-G0732,4,00:31.200000,SAC,,DET,,D. Mitchell,SAC,MISS Mitchell 7' Hook Shot,Missed Shot,Hook Shot,6,73,7,1,2.0,0.0,h
S2324-G0303,4,01:00,SAC,,BKN,,D. Mitchell,SAC,Mitchell REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G0303,4,00:58.200000,SAC,,BKN,,D. Mitchell,SAC,MISS Mitchell 25' 3PT Jump Shot,Missed Shot,Jump Shot,-183,163,25,1,3.0,0.0,h
S2324-G0929,1,03:54,SAC,,HOU,,D. Mitchell,SAC,Mitchell S.FOUL (P1.T1) (S.Mitchell),Foul,Shooting,0,0,0,0,,,h
S2324-G0929,1,03:24,SAC,23.0,HOU,16.0,D. Mitchell,SAC,Mitchell 3PT Running Pull-Up Jump Shot (3 PTS) (Ellis 1 AST),Made Shot,Running Pull-Up Jump Shot,-229,13,0,1,3.0,3.0,h
S2324-G0929,1,01:17,SAC,,HOU,,D. Mitchell,SAC,SUB: Len FOR Mitchell,Substitution,,0,0,0,0,,,h
S2324-G0929,2,08:02,SAC,,HOU,,D. Mitchell,SAC,MISS Mitchell 3PT Jump Shot,Missed Shot,Jump Shot,-233,25,0,1,3.0,0.0,h
S2324-G0929,2,07:59,SAC,,HOU,,D. Mitchell,SAC,Mitchell REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G0929,2,07:53,SAC,,HOU,,D. Mitchell,SAC,MISS Mitchell 15' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-153,0,15,1,2.0,0.0,h
S2324-G0929,2,05:37,SAC,,HOU,,D. Mitchell,SAC,SUB: Murray FOR Mitchell,Substitution,,0,0,0,0,,,h
S2324-G0929,3,06:17,SAC,,HOU,,D. Mitchell,SAC,MISS Mitchell 26' 3PT Jump Shot,Missed Shot,Jump Shot,-110,231,26,1,3.0,0.0,h
