game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0354,1,08:53,TOR,7.0,CHA,7.0,P. Siakam,TOR,Siakam 4' Running Layup (2 PTS) (Barnes 1 AST),Made Shot,Running Layup Shot,42,8,4,1,2.0,2.0,h
S2324-G0354,1,05:09,TOR,,CHA,,P. Siakam,TOR,MISS Siakam 5' Driving Layup,Missed Shot,Driving Layup Shot,49,14,5,1,2.0,0.0,h
S2324-G0354,1,04:46,TOR,,CHA,,P. Siakam,TOR,MISS Siakam 11' Step Back Jump Shot,Missed Shot,Step Back Jump shot,7,114,11,1,2.0,0.0,h
S2324-G0354,1,03:12,TOR,13.0,CHA,20.0,P. Siakam,TOR,Siakam Cutting Layup Shot (4 PTS) (Achiuwa 1 AST),Made Shot,Cutting Layup Shot,-4,-2,0,1,2.0,2.0,h
S2324-G0354,1,02:34,TOR,,CHA,,P. Siakam,TOR,MISS Siakam 27' 3PT Jump Shot,Missed Shot,Jump Shot,-93,252,27,1,3.0,0.0,h
S2324-G0354,1,02:03,TOR,,CHA,,P. Siakam,TOR,Siakam REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G0354,1,02:03,TOR,14.0,CHA,22.0,P. Siakam,TOR,Siakam Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0354,1,02:03,TOR,15.0,CHA,22.0,P. Siakam,TOR,Siakam Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0354,1,01:16,TOR,,CHA,,P. Siakam,TOR,SUB: Boucher FOR Siakam,Substitution,,0,0,0,0,,,h
S2324-G0354,2,05:28,TOR,,CHA,,P. Siakam,TOR,Siakam OFF.Foul (P1) (J.Butler),Foul,Offensive,0,0,0,0,,,h
S2324-G0354,2,05:28,TOR,,CHA,,P. Siakam,TOR,Siakam Offensive Foul Turnover (P1.T9),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2324-G0354,2,01:03,TOR,46.0,CHA,52.0,P. Siakam,TOR,Siakam Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0354,2,01:03,TOR,,CHA,,P. Siakam,TOR,MISS Siakam Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2324-G0354,2,00:01.100000,TOR,48.0,CHA,52.0,P. Siakam,TOR,Siakam 12' Driving Floating Bank Jump Shot (9 PTS) (Trent Jr. 2 AST),Made Shot,Driving Floating Bank Jump Shot,109,47,12,1,2.0,2.0,h
S2324-G0354,3,10:54,TOR,,CHA,,P. Siakam,TOR,Siakam REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0354,3,09:42,TOR,,CHA,,P. Siakam,TOR,MISS Siakam 10' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-34,95,10,1,2.0,0.0,h
S2324-G0354,3,09:37,TOR,,CHA,,P. Siakam,TOR,Siakam REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0354,3,09:37,TOR,53.0,CHA,54.0,P. Siakam,TOR,Siakam Putback Layup (11 PTS),Made Shot,Putback Layup Shot,0,0,0,1,2.0,2.0,h
S2324-G0354,3,07:42,TOR,57.0,CHA,61.0,P. Siakam,TOR,Siakam 3' Finger Roll Layup (13 PTS) (Poeltl 2 AST),Made Shot,Finger Roll Layup Shot,4,26,3,1,2.0,2.0,h
S2324-G0354,3,07:02,TOR,59.0,CHA,64.0,P. Siakam,TOR,Siakam 7' Driving Finger Roll Layup (15 PTS) (Schroder 3 AST),Made Shot,Driving Finger Roll Layup Shot,38,55,7,1,2.0,2.0,h
S2324-G0354,3,06:02,TOR,,CHA,,P. Siakam,TOR,Siakam STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0354,3,05:59,TOR,63.0,CHA,64.0,P. Siakam,TOR,Siakam Running Layup (17 PTS),Made Shot,Running Layup Shot,-1,2,0,1,2.0,2.0,h
S2324-G0354,3,00:59.600000,TOR,,CHA,,P. Siakam,TOR,Siakam Out of Bounds - Bad Pass Turnover Turnover (P2.T17),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2324-G0354,3,00:02.300000,TOR,79.0,CHA,81.0,P. Siakam,TOR,Siakam 7' Driving Floating Bank Jump Shot (19 PTS),Made Shot,Driving Floating Bank Jump Shot,44,49,7,1,2.0,2.0,h
S2324-G0354,4,04:50,TOR,,CHA,,P. Siakam,TOR,Siakam REBOUND (Off:3 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0354,4,04:38,TOR,99.0,CHA,93.0,P. Siakam,TOR,Siakam 8' Turnaround Fadeaway (21 PTS) (Trent Jr. 3 AST),Made Shot,Turnaround Fadeaway shot,-51,63,8,1,2.0,2.0,h
S2324-G0354,4,04:38,TOR,100.0,CHA,93.0,P. Siakam,TOR,Siakam Free Throw 1 of 1 (22 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2324-G0354,4,03:38,TOR,,CHA,,P. Siakam,TOR,Siakam REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0354,4,03:35,TOR,,CHA,,P. Siakam,TOR,MISS Siakam 2' Running Layup,Missed Shot,Running Layup Shot,-21,10,2,1,2.0,0.0,h
S2324-G0354,4,03:35,TOR,,CHA,,P. Siakam,TOR,Siakam REBOUND (Off:4 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0354,4,03:35,TOR,104.0,CHA,93.0,P. Siakam,TOR,Siakam Putback Layup (24 PTS),Made Shot,Putback Layup Shot,0,0,0,1,2.0,2.0,h
S2324-G0354,4,03:35,TOR,105.0,CHA,93.0,P. Siakam,TOR,Siakam Free Throw 1 of 1 (25 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2324-G0354,4,02:56,TOR,107.0,CHA,95.0,P. Siakam,TOR,Siakam 12' Pullup Jump Shot (27 PTS) (Schroder 5 AST),Made Shot,Pullup Jump shot,-31,121,12,1,2.0,2.0,h
S2324-G0354,4,01:05,TOR,,CHA,,P. Siakam,TOR,Siakam REBOUND (Off:4 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0354,4,00:29.800000,TOR,,CHA,,P. Siakam,TOR,Siakam REBOUND (Off:4 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G0211,1,11:07,TOR,4.0,DET,1.0,P. Siakam,TOR,Siakam 2' Finger Roll Layup (2 PTS) (Schroder 2 AST),Made Shot,Finger Roll Layup Shot,-12,13,2,1,2.0,2.0,h
S2324-G0211,1,09:38,TOR,,DET,,P. Siakam,TOR,Siakam REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0211,1,08:39,TOR,,DET,,P. Siakam,TOR,MISS Siakam 25' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,158,199,25,1,3.0,0.0,h
S2324-G0211,1,08:33,TOR,,DET,,P. Siakam,TOR,Siakam STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0211,1,07:29,TOR,,DET,,P. Siakam,TOR,MISS Siakam 3' Layup,Missed Shot,Layup Shot,-16,29,3,1,2.0,0.0,h
S2324-G0211,1,05:34,TOR,,DET,,P. Siakam,TOR,MISS Siakam 5' Turnaround Bank Hook Shot,Missed Shot,Turnaround Bank Hook Shot,42,22,5,1,2.0,0.0,h
S2324-G0211,1,03:33,TOR,,DET,,P. Siakam,TOR,MISS Siakam 7' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,59,31,7,1,2.0,0.0,h
S2324-G0211,1,03:22,TOR,,DET,,P. Siakam,TOR,Siakam REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0211,1,03:14,TOR,,DET,,P. Siakam,TOR,Siakam REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0211,1,01:25,TOR,,DET,,P. Siakam,TOR,SUB: Boucher FOR Siakam,Substitution,,0,0,0,0,,,h
S2324-G0211,2,07:03,TOR,,DET,,P. Siakam,TOR,MISS Siakam 17' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,161,43,17,1,2.0,0.0,h
S2324-G0211,2,04:32,TOR,55.0,DET,38.0,P. Siakam,TOR,Siakam 8' Floating Jump Shot (4 PTS) (Trent Jr. 1 AST),Made Shot,Floating Jump shot,1,82,8,1,2.0,2.0,h
S2324-G0211,2,03:59,TOR,,DET,,P. Siakam,TOR,Jump Ball Siakam vs. Thompson: Tip to Trent Jr.,Jump Ball,,0,0,0,0,,,h
S2324-G0211,2,02:53,TOR,62.0,DET,41.0,P. Siakam,TOR,Siakam 6' Layup (6 PTS) (Poeltl 3 AST),Made Shot,Layup Shot,50,25,6,1,2.0,2.0,h
S2324-G0211,2,02:42,TOR,,DET,,P. Siakam,TOR,Siakam REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0211,2,02:35,TOR,,DET,,P. Siakam,TOR,MISS Siakam 3' Driving Layup,Missed Shot,Driving Layup Shot,28,9,3,1,2.0,0.0,h
S2324-G0211,2,01:04,TOR,,DET,,P. Siakam,TOR,MISS Siakam 1' Running Layup,Missed Shot,Running Layup Shot,-12,8,1,1,2.0,0.0,h
S2324-G0211,2,00:36.900000,TOR,69.0,DET,43.0,P. Siakam,TOR,Siakam 1' Running Layup (8 PTS) (Barnes 5 AST),Made Shot,Running Layup Shot,5,6,1,1,2.0,2.0,h
S2324-G0211,3,11:36,TOR,,DET,,P. Siakam,TOR,Siakam REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0211,3,10:15,TOR,,DET,,P. Siakam,TOR,Siakam REBOUND (Off:2 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G0211,3,09:22,TOR,76.0,DET,50.0,P. Siakam,TOR,Siakam 13' Fadeaway Jumper (10 PTS),Made Shot,Fadeaway Jump Shot,-61,110,13,1,2.0,2.0,h
S2324-G0211,3,09:03,TOR,77.0,DET,50.0,P. Siakam,TOR,Siakam Free Throw 1 of 2 (11 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0211,3,09:03,TOR,78.0,DET,50.0,P. Siakam,TOR,Siakam Free Throw 2 of 2 (12 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0211,3,07:27,TOR,84.0,DET,53.0,P. Siakam,TOR,Siakam 2' Driving Finger Roll Layup (14 PTS) (Schroder 6 AST),Made Shot,Driving Finger Roll Layup Shot,-16,5,2,1,2.0,2.0,h
S2324-G0211,3,06:45,TOR,86.0,DET,55.0,P. Siakam,TOR,Siakam 6' Cutting Layup Shot (16 PTS) (Anunoby 2 AST),Made Shot,Cutting Layup Shot,34,44,6,1,2.0,2.0,h
S2324-G0211,3,04:51,TOR,94.0,DET,58.0,P. Siakam,TOR,Siakam 1' Running Finger Roll Layup (18 PTS),Made Shot,Running Finger Roll Layup Shot,1,8,1,1,2.0,2.0,h
S2324-G0211,3,04:51,TOR,,DET,,P. Siakam,TOR,MISS Siakam Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,h
S2324-G0211,3,04:48,TOR,,DET,,P. Siakam,TOR,Siakam REBOUND (Off:3 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G0211,3,03:05,TOR,101.0,DET,64.0,P. Siakam,TOR,Siakam 7' Fadeaway Jumper (20 PTS),Made Shot,Fadeaway Jump Shot,-13,71,7,1,2.0,2.0,h
S2324-G0211,3,02:34,TOR,,DET,,P. Siakam,TOR,MISS Siakam 13' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,-61,110,13,1,2.0,0.0,h
S2324-G0211,3,01:38,TOR,104.0,DET,66.0,P. Siakam,TOR,Siakam 27' 3PT Running Jump Shot (23 PTS) (Achiuwa 3 AST),Made Shot,Running Jump Shot,-99,256,27,1,3.0,3.0,h
S2324-G0211,3,01:21,TOR,,DET,,P. Siakam,TOR,Siakam S.FOUL (P1.T3) (E.Dalen),Foul,Shooting,0,0,0,0,,,h
S2324-G0211,3,01:21,TOR,,DET,,P. Siakam,TOR,SUB: Anunoby FOR Siakam,Substitution,,0,0,0,0,,,h
S2324-G0092,1,08:43,TOR,9.0,PHI,8.0,P. Siakam,TOR,Siakam 11' Fadeaway Jumper (2 PTS),Made Shot,Fadeaway Jump Shot,109,36,11,1,2.0,2.0,h
S2324-G0092,1,06:07,TOR,,PHI,,P. Siakam,TOR,Siakam REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0092,1,05:58,TOR,17.0,PHI,12.0,P. Siakam,TOR,Siakam 27' 3PT Jump Shot (5 PTS) (Schroder 2 AST),Made Shot,Jump Shot,-167,217,27,1,3.0,3.0,h
S2324-G0092,1,05:00,TOR,,PHI,,P. Siakam,TOR,Siakam REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0092,1,03:41,TOR,25.0,PHI,15.0,P. Siakam,TOR,Siakam 26' 3PT Jump Shot (8 PTS) (Flynn 1 AST),Made Shot,Jump Shot,98,237,26,1,3.0,3.0,h
S2324-G0092,1,02:58,TOR,,PHI,,P. Siakam,TOR,Siakam Lost Ball Turnover (P1.T2),Turnover,Lost Ball,0,0,0,0,,,h
S2324-G0092,1,02:55,TOR,,PHI,,P. Siakam,TOR,Siakam S.FOUL (P1.PN) (M.Boland),Foul,Shooting,0,0,0,0,,,h
S2324-G0092,1,02:55,TOR,,PHI,,P. Siakam,TOR,SUB: Boucher FOR Siakam,Substitution,,0,0,0,0,,,h
S2324-G0092,2,06:36,TOR,47.0,PHI,46.0,P. Siakam,TOR,Siakam Free Throw 1 of 2 (9 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
