game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1142,3,03:14,GSW,,UTA,,K. Lewis Jr.,UTA,MISS Lewis Jr. 7' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-67,8,7,1,2.0,0.0,v
S2324-G1142,3,03:11,GSW,,UTA,,K. Lewis Jr.,UTA,MISS Lewis Jr. 26' 3PT Jump Shot,Missed Shot,Jump Shot,-27,256,26,1,3.0,0.0,v
S2324-G1142,4,11:37,GSW,,UTA,,K. Lewis Jr.,UTA,Lewis Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G1142,4,10:48,GSW,99.0,UTA,82.0,K. Lewis Jr.,UTA,Lewis Jr. 9' Driving Floating Jump Shot (2 PTS),Made Shot,Driving Floating Jump Shot,64,57,9,1,2.0,2.0,v
S2324-G1142,4,09:48,GSW,,UTA,,K. Lewis Jr.,UTA,Lewis Jr. STEAL (1 STL),,,0,0,0,0,,,v
S2324-G1142,4,09:36,GSW,,UTA,,K. Lewis Jr.,UTA,MISS Lewis Jr. Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2324-G1142,4,09:36,GSW,99.0,UTA,85.0,K. Lewis Jr.,UTA,Lewis Jr. Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G1142,4,06:14,GSW,107.0,UTA,95.0,K. Lewis Jr.,UTA,Lewis Jr. 4' Running Layup (5 PTS) (Juzang 1 AST),Made Shot,Running Layup Shot,-29,20,4,1,2.0,2.0,v
S2324-G1142,4,06:14,GSW,,UTA,,K. Lewis Jr.,UTA,SUB: Hendricks FOR Lewis Jr.,Substitution,,0,0,0,0,,,v
S2324-G0987,2,05:14,UTA,,MIN,,K. Lewis Jr.,UTA,SUB: Collins FOR Lewis Jr.,Substitution,,0,0,0,0,,,h
S2324-G1041,4,00:38.100000,UTA,,DAL,,K. Lewis Jr.,UTA,Lewis Jr. BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G1000,4,03:21,OKC,112.0,UTA,97.0,K. Lewis Jr.,UTA,Lewis Jr. 13' Driving Floating Jump Shot (2 PTS),Made Shot,Driving Floating Jump Shot,4,131,13,1,2.0,2.0,v
