game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1103,1,04:08,WAS,,LAL,,J. Champagnie,WAS,MISS Champagnie 26' 3PT Jump Shot,Missed Shot,Jump Shot,225,131,26,1,3.0,0.0,h
S2324-G1103,1,03:39,WAS,,LAL,,J. Champagnie,WAS,MISS Champagnie 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-211,153,26,1,3.0,0.0,h
S2324-G1103,3,10:05,WAS,65.0,LAL,76.0,J. Champagnie,WAS,Champagnie 24' 3PT Jump Shot (3 PTS) (Kuzma 3 AST),Made Shot,Jump Shot,-240,-6,24,1,3.0,3.0,h
S2324-G1103,3,08:24,WAS,,LAL,,J. Champagnie,WAS,Champagnie REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G1103,3,08:23,WAS,,LAL,,J. Champagnie,WAS,MISS Champagnie 3' Tip Layup Shot,Missed Shot,Tip Layup Shot,-13,22,3,1,2.0,0.0,h
S2324-G1103,3,08:21,WAS,,LAL,,J. Champagnie,WAS,Champagnie REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G1103,3,08:21,WAS,67.0,LAL,80.0,J. Champagnie,WAS,Champagnie 2' Tip Layup Shot (5 PTS),Made Shot,Tip Layup Shot,-17,15,2,1,2.0,2.0,h
S2324-G1103,3,08:11,WAS,,LAL,,J. Champagnie,WAS,Champagnie STEAL (1 STL),,,0,0,0,0,,,h
S2324-G1103,3,07:18,WAS,,LAL,,J. Champagnie,WAS,SUB: Butler FOR Champagnie,Substitution,,0,0,0,0,,,h
S2324-G1103,4,10:42,WAS,,LAL,,J. Champagnie,WAS,Champagnie REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
