x,y,m
0,16,1.0
-1,62,1.0
2,15,-1.0
7,18,-1.0
0,0,1.0
45,131,1.0
-162,109,-1.0
-228,-10,-1.0
-11,7,1.0
-107,262,-1.0
69,80,1.0
92,33,-1.0
-47,26,1.0
29,49,-1.0
-17,130,-1.0
229,1,-1.0
-147,211,2.0
-154,200,2.0
-1,8,1.0
13,56,-1.0
-12,12,1.0
-16,8,-1.0
229,-6,-1.0
-2,12,1.0
6,2,-1.0
-51,73,-1.0
-6,122,-1.0
223,79,-1.0
222,8,-1.0
-147,218,-1.0
21,58,1.0
-191,173,-1.0
40,54,-1.0
-51,58,1.0
-235,-16,2.0
-43,34,-1.0
222,105,2.0
89,22,1.0
-142,214,-1.0
-20,31,-1.0
146,206,-1.0
40,41,-1.0
147,202,-1.0
-175,1,1.0
-7,15,-1.0
-161,204,2.0
227,47,2.0
-241,-13,2.0
-2,0,1.0
114,2,1.0
-39,13,-1.0
-87,79,1.0
-20,20,-1.0
-221,57,2.0
-34,103,1.0
114,153,-1.0
-26,30,1.0
-6,14,-1.0
0,0,-1.0
-120,224,-1.0
5,77,-1.0
-107,237,-1.0
-88,179,1.0
-31,117,-1.0
0,4,-1.0
-221,68,2.0
-23,73,1.0
45,92,-1.0
4,5,1.0
-147,210,2.0
12,13,1.0
121,230,2.0
-5,30,-1.0
-32,36,-1.0
27,29,-1.0
15,31,-1.0
18,31,-1.0
183,198,-1.0
10,-1,1.0
239,80,-1.0
-223,35,-1.0
12,6,1.0
2,1,1.0
-29,17,1.0
76,245,-1.0
-143,201,-1.0
-49,245,-1.0
4,115,1.0
5,3,1.0
66,15,-1.0
151,227,-1.0
-131,215,-1.0
-15,31,-1.0
137,207,-1.0
-230,33,2.0
-33,99,-1.0
-189,163,-1.0
-22,18,1.0
22,10,1.0
11,17,1.0
-27,23,1.0
10,13,1.0
-28,41,1.0
20,11,1.0
6,127,1.0
-137,233,2.0
5,37,1.0
-9,154,-1.0
11,13,1.0
-131,62,-1.0
