x,y,m
-17,284,-1.0
47,58,-1.0
6,137,1.0
-34,7,1.0
-44,116,-1.0
-33,33,-1.0
-13,28,1.0
223,15,2.0
227,-16,2.0
-15,33,1.0
208,138,-1.0
97,33,-1.0
-235,39,-1.0
-165,189,2.0
-31,39,-1.0
-7,57,1.0
-207,284,-1.0
-132,235,-1.0
-69,68,-1.0
34,13,1.0
-18,-20,1.0
29,258,-1.0
163,542,-1.0
51,275,2.0
-107,239,-1.0
-67,115,1.0
-188,167,-1.0
-75,109,-1.0
-71,80,-1.0
66,47,-1.0
-22,29,1.0
-234,7,-1.0
-10,22,1.0
130,212,2.0
-7,11,1.0
-15,79,-1.0
43,253,2.0
164,195,2.0
-42,34,-1.0
-31,32,1.0
240,-19,-1.0
-104,84,-1.0
140,210,-1.0
-191,223,-1.0
0,62,-1.0
235,34,-1.0
51,251,-1.0
-26,58,-1.0
-9,82,-1.0
-12,32,1.0
0,10,1.0
-23,140,-1.0
102,235,2.0
59,219,-1.0
145,43,1.0
76,52,-1.0
25,119,-1.0
4,35,1.0
-49,251,-1.0
45,266,-1.0
7,48,-1.0
-230,-1,-1.0
-126,214,2.0
223,19,-1.0
-189,2,-1.0
-10,9,1.0
184,194,-1.0
-18,0,1.0
-20,14,1.0
-208,125,-1.0
-109,-8,-1.0
26,90,-1.0
-17,41,1.0
206,172,-1.0
232,13,-1.0
137,229,2.0
50,264,2.0
-50,16,-1.0
-161,192,-1.0
-21,22,1.0
-89,-12,-1.0
224,7,2.0
-20,250,2.0
-207,141,-1.0
-227,-7,-1.0
28,68,-1.0
-69,243,-1.0
28,30,-1.0
-12,4,1.0
-10,100,-1.0
13,7,1.0
70,136,1.0
223,-8,2.0
71,248,2.0
23,122,-1.0
33,113,1.0
-15,8,1.0
0,0,1.0
32,104,-1.0
-233,32,-1.0
-40,112,-1.0
199,2,1.0
-4,12,1.0
-97,237,-1.0
230,-9,2.0
213,121,-1.0
-104,247,-1.0
-13,4,-1.0
0,0,1.0
1,180,-1.0
-7,10,1.0
28,179,-1.0
-230,8,-1.0
-40,113,1.0
-11,80,1.0
66,22,-1.0
82,8,-1.0
13,6,-1.0
-112,236,2.0
-201,147,-1.0
-186,168,2.0
80,1,-1.0
0,0,-1.0
-17,16,1.0
12,15,-1.0
0,0,1.0
96,13,1.0
-44,249,2.0
115,25,1.0
-25,23,-1.0
0,0,1.0
31,1,1.0
-170,199,-1.0
1,298,-1.0
13,88,1.0
18,10,-1.0
230,105,-1.0
15,99,1.0
38,99,-1.0
0,0,1.0
70,63,1.0
96,34,-1.0
33,37,-1.0
-72,140,-1.0
9,106,-1.0
-92,101,-1.0
0,0,1.0
-78,58,-1.0
-223,38,-1.0
-207,129,-1.0
-21,89,-1.0
234,34,2.0
-192,192,-1.0
5,78,-1.0
28,21,-1.0
0,0,-1.0
-32,143,1.0
181,178,2.0
27,89,1.0
-172,177,-1.0
0,0,1.0
-9,111,1.0
2,150,1.0
-36,85,-1.0
-18,11,1.0
-92,78,-1.0
36,9,-1.0
-94,243,2.0
16,15,1.0
2,279,2.0
-56,16,1.0
238,68,-1.0
-223,2,2.0
-141,209,-1.0
-228,38,-1.0
21,9,1.0
11,-2,1.0
-71,42,1.0
238,1,-1.0
50,137,-1.0
4,28,1.0
244,-1,-1.0
208,168,-1.0
5,67,-1.0
-9,13,-1.0
1,194,-1.0
15,89,-1.0
-48,71,1.0
-88,248,-1.0
7,137,-1.0
31,259,-1.0
0,0,1.0
-4,31,1.0
9,15,1.0
240,17,-1.0
17,2,-1.0
9,25,-1.0
173,204,-1.0
29,185,-1.0
7,59,1.0
67,132,1.0
-31,593,-1.0
192,175,-1.0
0,23,1.0
-6,25,-1.0
-94,252,-1.0
-13,44,-1.0
45,12,-1.0
168,199,-1.0
-104,241,2.0
120,233,-1.0
-7,26,1.0
2,20,1.0
11,269,-1.0
0,0,-1.0
