x,y,m
229,54,-1.0
227,44,-1.0
97,247,-1.0
-17,21,1.0
-130,228,2.0
-5,71,-1.0
-7,11,-1.0
0,0,-1.0
53,257,-1.0
-88,183,-1.0
97,246,-1.0
-65,54,-1.0
5,29,1.0
51,29,-1.0
47,165,-1.0
138,10,-1.0
-194,172,-1.0
-86,48,-1.0
40,25,1.0
-42,256,2.0
-44,264,2.0
-20,18,1.0
-31,143,-1.0
-211,158,-1.0
-2,70,-1.0
-15,149,1.0
44,64,1.0
124,301,-1.0
-227,21,-1.0
-170,202,-1.0
54,268,-1.0
-224,49,2.0
127,71,-1.0
-227,22,2.0
89,249,2.0
140,41,1.0
7,85,1.0
71,139,1.0
192,159,-1.0
221,36,-1.0
-2,253,-1.0
43,256,-1.0
148,199,-1.0
-180,185,2.0
227,31,2.0
145,60,1.0
-120,228,2.0
9,92,-1.0
15,19,-1.0
129,54,-1.0
16,71,-1.0
11,17,1.0
-237,21,-1.0
-168,206,2.0
-47,250,-1.0
20,51,-1.0
31,27,-1.0
-191,163,2.0
-195,147,2.0
42,256,-1.0
17,36,-1.0
-16,269,2.0
-20,4,1.0
-136,210,-1.0
-146,206,-1.0
15,101,1.0
113,257,-1.0
16,209,-1.0
-232,19,-1.0
-17,30,1.0
-38,145,-1.0
-21,15,-1.0
-22,63,1.0
26,52,-1.0
-26,27,-1.0
-164,188,2.0
-80,261,-1.0
-36,11,-1.0
-118,216,-1.0
161,246,2.0
-9,89,-1.0
-31,46,1.0
-105,250,2.0
-93,72,1.0
230,69,-1.0
212,137,-1.0
-129,219,-1.0
29,299,-1.0
33,98,-1.0
0,0,1.0
12,79,-1.0
-47,264,-1.0
-77,161,-1.0
17,17,1.0
-5,13,1.0
55,184,1.0
43,262,2.0
233,106,2.0
-70,250,-1.0
31,80,-1.0
82,264,-1.0
-66,36,-1.0
-89,248,-1.0
150,230,-1.0
-47,250,-1.0
26,-4,-1.0
147,257,2.0
4,30,-1.0
-2,17,-1.0
7,0,1.0
121,163,-1.0
9,1,1.0
11,103,1.0
23,4,1.0
58,151,-1.0
185,187,-1.0
4,42,-1.0
-31,213,-1.0
-2,16,1.0
158,200,-1.0
-17,-2,-1.0
17,4,1.0
-61,260,2.0
11,5,1.0
11,5,-1.0
0,0,-1.0
-64,185,-1.0
2,34,1.0
33,19,1.0
225,117,-1.0
143,215,-1.0
-229,15,2.0
-116,222,-1.0
-9,17,-1.0
22,9,1.0
10,-10,1.0
-7,4,-1.0
26,3,-1.0
-62,245,2.0
-45,145,-1.0
9,6,1.0
18,1,1.0
-227,11,2.0
185,174,-1.0
1,-4,1.0
-121,224,2.0
1,11,-1.0
-224,22,2.0
-54,257,2.0
-78,158,1.0
233,27,2.0
17,5,1.0
-6,-7,1.0
-81,122,-1.0
211,277,-1.0
27,18,1.0
-126,230,2.0
64,251,-1.0
