x,y,m
-93,80,-1.0
-235,-9,2.0
1,162,-1.0
232,-19,-1.0
-34,37,-1.0
7,7,1.0
-16,7,-1.0
1,11,-1.0
-227,5,-1.0
20,12,-1.0
65,137,1.0
-23,18,-1.0
-2,20,1.0
232,49,-1.0
0,0,-1.0
-233,-9,2.0
-11,2,1.0
-78,147,1.0
-97,78,-1.0
-11,18,1.0
-20,71,1.0
39,38,1.0
167,190,2.0
-9,117,1.0
124,237,-1.0
229,-6,2.0
23,22,-1.0
-15,36,-1.0
29,253,-1.0
-6,265,-1.0
17,11,-1.0
0,59,1.0
-51,253,2.0
-33,100,1.0
-237,-6,2.0
-75,96,1.0
6,6,1.0
-145,0,1.0
-176,136,-1.0
20,20,-1.0
-12,4,1.0
23,22,1.0
-136,203,-1.0
16,4,1.0
-9,-1,-1.0
142,214,-1.0
44,68,-1.0
-22,159,1.0
7,4,1.0
-37,66,-1.0
-96,231,2.0
-6,-7,-1.0
130,37,-1.0
45,16,1.0
31,15,1.0
-97,152,1.0
-18,248,-1.0
-229,-34,-1.0
36,48,-1.0
21,-8,1.0
-12,-4,1.0
-9,1,1.0
2,248,-1.0
7,14,1.0
28,647,-1.0
-123,50,1.0
21,89,1.0
-9,9,1.0
1,245,-1.0
-237,0,2.0
20,0,1.0
22,-5,1.0
66,172,-1.0
23,-5,1.0
-120,208,-1.0
228,37,-1.0
25,22,1.0
130,219,-1.0
104,104,-1.0
22,71,-1.0
227,55,2.0
161,205,-1.0
158,213,-1.0
27,29,-1.0
48,169,-1.0
0,0,-1.0
-230,-21,-1.0
32,120,-1.0
5,257,-1.0
-123,218,2.0
-62,237,-1.0
1,92,-1.0
-29,247,2.0
-40,163,-1.0
74,21,-1.0
-227,-21,-1.0
121,224,2.0
-225,-23,-1.0
118,215,-1.0
-141,199,2.0
25,0,-1.0
11,13,1.0
-43,26,-1.0
6,19,1.0
232,98,2.0
-2,-5,1.0
17,53,-1.0
-229,-12,2.0
-48,114,-1.0
-64,243,-1.0
186,20,1.0
-29,20,-1.0
27,251,-1.0
33,36,-1.0
-205,143,-1.0
16,48,-1.0
9,83,-1.0
0,0,-1.0
233,41,-1.0
7,38,1.0
26,15,1.0
6,242,-1.0
2,21,-1.0
-20,20,1.0
56,94,1.0
6,69,1.0
-113,224,2.0
146,199,-1.0
33,42,1.0
6,300,-1.0
-123,23,-1.0
0,0,1.0
-77,100,-1.0
188,174,2.0
12,32,-1.0
234,27,2.0
-51,264,2.0
-230,-9,-1.0
-38,267,2.0
10,7,1.0
-229,-4,2.0
230,21,2.0
