x,y,m
230,-3,2.0
-164,207,-1.0
-5,12,-1.0
-11,6,-1.0
222,107,-1.0
1,0,1.0
211,136,-1.0
-67,118,1.0
2,-1,-1.0
86,34,-1.0
6,17,-1.0
-4,13,-1.0
197,170,2.0
48,109,-1.0
-131,244,2.0
-29,64,1.0
-29,274,2.0
110,104,-1.0
-233,74,-1.0
-110,265,-1.0
240,-3,-1.0
32,158,-1.0
0,0,1.0
-47,120,-1.0
212,126,2.0
105,244,-1.0
-21,268,2.0
-17,4,-1.0
2,39,1.0
25,79,1.0
230,81,-1.0
-48,258,-1.0
134,230,-1.0
-165,206,2.0
11,27,-1.0
-194,168,2.0
-232,-6,-1.0
4,1,1.0
2,-3,1.0
-126,231,-1.0
7,5,1.0
37,39,-1.0
-2,6,1.0
174,180,2.0
-25,46,-1.0
0,0,1.0
66,256,2.0
-16,5,-1.0
-29,106,-1.0
-43,29,-1.0
10,1,1.0
-5,10,1.0
9,155,-1.0
11,6,1.0
-64,264,2.0
-222,114,-1.0
225,26,2.0
141,220,-1.0
5,9,1.0
16,66,-1.0
0,0,-1.0
6,14,1.0
9,-2,1.0
-40,79,-1.0
195,172,-1.0
-195,164,2.0
45,251,2.0
100,240,-1.0
213,135,-1.0
-184,179,-1.0
123,227,-1.0
0,0,-1.0
156,9,1.0
174,195,-1.0
194,172,2.0
11,1,1.0
-229,11,-1.0
186,189,-1.0
-44,26,1.0
48,167,1.0
32,22,-1.0
49,150,1.0
58,99,-1.0
-65,150,-1.0
43,255,-1.0
-76,243,-1.0
2,1,1.0
-94,98,1.0
-179,176,-1.0
0,6,1.0
-152,201,2.0
-147,137,-1.0
-180,176,2.0
37,10,-1.0
-118,247,-1.0
51,52,-1.0
0,0,1.0
-156,205,2.0
-218,-7,-1.0
104,61,1.0
-50,255,-1.0
-20,-4,1.0
20,41,-1.0
18,264,-1.0
12,22,1.0
-156,216,2.0
92,158,-1.0
-138,232,-1.0
141,271,-1.0
119,251,2.0
119,268,2.0
-172,201,2.0
239,32,-1.0
89,32,-1.0
11,-5,1.0
105,257,2.0
113,9,1.0
234,63,-1.0
21,17,-1.0
158,216,-1.0
29,-1,1.0
126,250,-1.0
44,8,1.0
-112,237,-1.0
-238,42,-1.0
-64,251,-1.0
18,14,1.0
47,98,-1.0
-116,239,2.0
135,256,2.0
50,264,2.0
12,35,-1.0
0,0,1.0
28,24,1.0
150,99,-1.0
-22,3,1.0
13,11,1.0
13,27,1.0
110,247,2.0
36,169,-1.0
20,0,1.0
143,239,2.0
140,232,-1.0
1,43,-1.0
123,248,-1.0
-17,18,1.0
7,104,-1.0
-205,4,1.0
-211,173,-1.0
-1,16,1.0
-12,47,-1.0
-6,1,-1.0
230,37,2.0
234,34,-1.0
26,22,-1.0
-71,190,-1.0
-12,131,-1.0
-143,246,-1.0
-15,6,1.0
21,4,1.0
75,256,-1.0
94,247,-1.0
-99,70,-1.0
-15,-8,-1.0
0,49,1.0
15,12,1.0
5,44,-1.0
20,17,-1.0
71,259,-1.0
13,18,-1.0
-201,173,-1.0
-159,211,2.0
-190,169,-1.0
-10,10,1.0
-1,15,1.0
229,10,-1.0
-9,-6,1.0
36,262,-1.0
-37,21,-1.0
102,254,-1.0
-230,22,-1.0
74,259,-1.0
0,29,-1.0
0,0,1.0
212,143,-1.0
0,0,1.0
12,-1,1.0
-51,148,-1.0
116,246,-1.0
33,28,-1.0
20,23,1.0
-33,13,1.0
112,226,2.0
-118,264,2.0
-29,25,1.0
38,38,1.0
-36,29,1.0
-151,101,-1.0
-36,20,1.0
-124,248,2.0
109,243,-1.0
58,173,1.0
-176,269,2.0
-13,41,1.0
48,270,-1.0
-132,149,-1.0
2,31,1.0
129,18,1.0
-221,141,-1.0
-185,194,2.0
-23,12,1.0
96,263,2.0
-42,43,-1.0
229,62,2.0
6,31,1.0
-195,186,2.0
-22,92,1.0
-36,38,-1.0
-10,62,-1.0
0,0,1.0
29,15,-1.0
62,6,-1.0
-205,180,2.0
162,205,2.0
-15,67,-1.0
-28,15,1.0
-134,237,-1.0
-2,59,-1.0
235,21,2.0
-47,55,-1.0
-168,143,1.0
4,22,1.0
58,285,-1.0
16,16,1.0
2,28,1.0
-39,29,1.0
142,228,2.0
224,21,-1.0
145,131,-1.0
26,269,-1.0
67,252,-1.0
240,41,-1.0
-164,211,2.0
59,38,-1.0
-22,34,-1.0
224,109,-1.0
222,141,-1.0
168,109,1.0
36,43,-1.0
40,31,-1.0
6,29,1.0
44,9,1.0
59,252,-1.0
36,271,-1.0
11,79,-1.0
-10,25,1.0
-173,183,-1.0
1,108,1.0
-201,158,-1.0
5,25,1.0
34,25,1.0
-98,19,-1.0
-39,15,1.0
224,145,2.0
104,246,-1.0
15,126,-1.0
178,201,-1.0
0,0,1.0
-5,258,2.0
235,4,2.0
119,262,2.0
-87,243,2.0
164,115,1.0
33,19,1.0
-89,235,2.0
-175,195,-1.0
-20,15,1.0
185,192,-1.0
-126,216,-1.0
-2,16,1.0
1,156,-1.0
214,145,2.0
-67,43,1.0
119,227,-1.0
-20,35,-1.0
0,5,-1.0
12,132,1.0
-2,35,-1.0
10,15,-1.0
85,62,-1.0
-6,13,-1.0
6,103,1.0
-2,19,1.0
26,185,1.0
9,11,1.0
202,137,2.0
158,192,-1.0
-6,250,-1.0
1,8,1.0
-64,242,2.0
114,242,-1.0
-27,260,-1.0
-4,29,1.0
77,104,-1.0
107,122,-1.0
-227,1,-1.0
156,29,1.0
-51,29,-1.0
56,119,-1.0
15,8,1.0
148,211,2.0
-25,263,2.0
7,73,-1.0
137,-21,-1.0
-5,215,1.0
107,148,1.0
22,31,-1.0
-26,96,-1.0
-4,8,1.0
141,220,-1.0
240,26,-1.0
-62,264,2.0
-75,256,-1.0
185,112,-1.0
74,243,-1.0
9,26,1.0
50,264,2.0
-112,239,2.0
10,25,1.0
4,20,-1.0
1,18,-1.0
58,263,-1.0
205,152,-1.0
229,6,2.0
-1,15,-1.0
0,28,-1.0
153,99,1.0
-113,244,2.0
9,118,1.0
0,277,-1.0
152,214,-1.0
-227,-11,2.0
94,12,1.0
4,47,-1.0
13,89,1.0
12,86,-1.0
-116,244,-1.0
91,243,2.0
186,169,2.0
23,73,-1.0
199,164,-1.0
-6,13,-1.0
0,0,1.0
-2,18,1.0
11,28,1.0
-50,289,-1.0
94,249,2.0
-1,26,-1.0
201,143,-1.0
227,118,-1.0
2,20,1.0
-185,173,-1.0
-159,320,-1.0
48,120,1.0
-211,143,-1.0
18,178,1.0
-195,164,-1.0
237,90,-1.0
-205,142,-1.0
93,242,2.0
31,243,-1.0
0,0,1.0
50,57,1.0
108,68,1.0
-22,20,1.0
11,262,-1.0
179,201,2.0
34,24,1.0
222,138,-1.0
58,29,-1.0
0,0,-1.0
-23,20,1.0
164,208,2.0
51,177,-1.0
42,34,-1.0
48,257,2.0
-168,184,-1.0
-148,200,2.0
-147,198,2.0
25,260,-1.0
13,75,-1.0
201,169,2.0
47,27,-1.0
202,166,2.0
59,40,-1.0
115,235,-1.0
36,30,-1.0
31,10,1.0
-116,-4,-1.0
0,0,1.0
6,47,1.0
31,27,1.0
56,37,-1.0
191,199,2.0
-181,163,-1.0
196,187,-1.0
53,103,-1.0
59,62,-1.0
-233,38,2.0
109,508,-1.0
-147,102,-1.0
120,237,-1.0
-191,201,-1.0
-98,107,-1.0
9,65,-1.0
174,197,-1.0
-163,241,2.0
-60,105,1.0
-125,256,-1.0
-45,281,2.0
-12,284,-1.0
130,18,-1.0
36,191,-1.0
145,210,-1.0
-72,274,-1.0
125,243,-1.0
-25,39,1.0
-7,34,1.0
-26,17,1.0
-233,5,-1.0
-129,25,-1.0
48,44,1.0
-230,-1,2.0
-124,252,2.0
-125,120,1.0
-49,90,1.0
53,23,1.0
38,6,-1.0
0,0,-1.0
0,0,-1.0
0,0,-1.0
0,0,1.0
76,256,2.0
-22,34,1.0
229,47,-1.0
-23,29,-1.0
0,0,-1.0
0,0,1.0
85,275,-1.0
-27,28,1.0
-75,52,1.0
-2,44,1.0
50,46,-1.0
-196,181,2.0
7,49,1.0
-199,220,2.0
-170,259,2.0
-11,280,2.0
-161,241,-1.0
-1,315,-1.0
5,202,-1.0
164,230,-1.0
78,253,-1.0
-202,174,-1.0
12,26,1.0
-23,29,1.0
-223,2,-1.0
47,64,-1.0
-9,44,-1.0
-2,47,1.0
26,29,-1.0
143,205,2.0
174,221,-1.0
-22,14,1.0
83,31,-1.0
49,22,1.0
16,69,-1.0
-161,199,2.0
-161,187,2.0
7,27,1.0
178,222,2.0
-169,201,2.0
-200,180,-1.0
195,187,2.0
-136,221,-1.0
16,3,1.0
-228,36,2.0
47,8,1.0
-227,41,-1.0
-5,40,1.0
29,22,-1.0
-229,-2,2.0
174,-6,1.0
17,262,2.0
-104,-4,-1.0
11,53,1.0
234,115,-1.0
172,50,-1.0
-16,43,-1.0
0,0,1.0
38,27,1.0
53,164,1.0
-134,57,1.0
-207,147,2.0
87,56,-1.0
-215,161,2.0
28,22,1.0
-135,234,2.0
17,266,-1.0
163,220,-1.0
131,257,-1.0
-25,22,1.0
-12,159,-1.0
-225,0,-1.0
-36,27,-1.0
229,37,-1.0
-17,189,1.0
-23,15,1.0
99,285,-1.0
-15,20,1.0
56,133,1.0
-44,26,-1.0
44,163,1.0
18,10,1.0
-1,20,1.0
233,65,2.0
29,22,1.0
-225,13,-1.0
-27,29,-1.0
228,151,-1.0
201,-8,-1.0
-36,11,-1.0
-27,259,2.0
94,253,-1.0
0,0,1.0
116,251,-1.0
223,2,-1.0
36,17,1.0
20,17,1.0
-6,43,1.0
44,17,1.0
-50,34,-1.0
115,10,-1.0
118,102,-1.0
7,36,1.0
13,28,-1.0
-23,258,-1.0
-200,164,-1.0
-37,22,1.0
-12,18,1.0
-109,241,-1.0
114,100,1.0
38,20,1.0
21,185,-1.0
28,27,1.0
11,27,1.0
-191,188,2.0
33,27,-1.0
-232,100,-1.0
38,11,-1.0
0,0,1.0
36,26,-1.0
-96,32,-1.0
-121,254,-1.0
131,58,-1.0
-37,184,-1.0
138,217,-1.0
-6,23,1.0
109,26,1.0
-208,168,2.0
42,34,1.0
31,26,1.0
-157,27,-1.0
-27,295,2.0
11,46,-1.0
-190,202,-1.0
-40,27,-1.0
-32,47,1.0
43,34,1.0
-10,67,-1.0
-175,205,-1.0
-32,20,1.0
-197,180,-1.0
193,3,1.0
196,167,-1.0
214,147,-1.0
118,101,-1.0
-183,180,-1.0
-104,256,-1.0
28,22,1.0
36,38,1.0
36,272,2.0
-104,264,2.0
-4,47,-1.0
208,154,-1.0
29,279,-1.0
-223,123,-1.0
-50,17,-1.0
145,105,1.0
-12,170,1.0
51,157,1.0
-10,196,1.0
91,247,-1.0
-206,186,2.0
2,291,2.0
-235,54,2.0
-32,13,1.0
28,22,1.0
-163,187,-1.0
-228,29,2.0
239,9,2.0
-32,21,-1.0
45,10,1.0
36,22,1.0
16,11,1.0
-11,31,1.0
55,9,-1.0
51,17,1.0
50,52,-1.0
-162,204,-1.0
105,71,1.0
202,176,-1.0
167,222,-1.0
29,24,1.0
16,179,-1.0
178,10,1.0
-180,167,-1.0
-131,215,-1.0
11,103,1.0
-164,189,2.0
-1,80,-1.0
-168,188,-1.0
31,47,-1.0
0,0,1.0
125,230,-1.0
217,159,-1.0
238,10,2.0
40,25,-1.0
230,22,2.0
-192,153,-1.0
-37,261,2.0
224,22,2.0
134,104,-1.0
214,151,2.0
44,19,-1.0
-223,-20,-1.0
-44,19,-1.0
56,75,-1.0
-5,36,-1.0
-140,204,2.0
118,124,-1.0
235,155,-1.0
225,11,-1.0
-228,-12,2.0
59,172,-1.0
112,14,-1.0
27,261,2.0
172,240,-1.0
-172,190,-1.0
