x,y,m
-4,20,-1.0
180,170,2.0
-185,184,2.0
50,251,-1.0
-89,44,1.0
188,195,-1.0
86,243,2.0
88,0,-1.0
74,242,-1.0
7,43,1.0
-11,22,-1.0
-232,-24,2.0
-6,-5,1.0
-233,10,2.0
-4,13,-1.0
132,225,2.0
-234,20,-1.0
18,8,-1.0
-232,12,-1.0
-170,8,-1.0
-1,0,1.0
-232,-5,-1.0
-1,2,1.0
-230,44,2.0
45,134,-1.0
-192,163,-1.0
107,230,-1.0
229,10,-1.0
12,5,-1.0
0,0,1.0
-184,181,-1.0
-9,58,-1.0
-11,1,1.0
-28,7,-1.0
-85,25,-1.0
-230,11,-1.0
-6,-4,1.0
-102,226,2.0
62,189,-1.0
98,248,-1.0
-4,53,-1.0
-17,156,-1.0
-77,242,2.0
-150,209,-1.0
-2,3,1.0
210,143,-1.0
-4,10,1.0
9,16,1.0
5,15,-1.0
5,8,1.0
9,25,-1.0
0,0,-1.0
-5,21,-1.0
227,29,2.0
-5,0,1.0
-85,242,-1.0
-100,225,-1.0
-22,16,1.0
126,96,1.0
25,142,-1.0
-1,22,1.0
67,247,2.0
56,46,-1.0
227,108,2.0
-17,6,1.0
21,4,1.0
-140,215,2.0
-115,48,1.0
113,120,1.0
-233,-17,2.0
-5,-10,1.0
132,252,2.0
180,199,2.0
230,22,2.0
9,-2,-1.0
-1,45,-1.0
-70,240,2.0
23,34,1.0
-92,167,1.0
-49,67,-1.0
-86,158,-1.0
-58,235,2.0
-10,30,-1.0
232,26,2.0
-18,19,-1.0
-105,226,-1.0
25,29,1.0
-69,55,1.0
13,14,-1.0
50,122,1.0
-15,5,-1.0
7,47,-1.0
179,272,-1.0
-2,58,-1.0
13,260,-1.0
-18,256,2.0
10,10,-1.0
0,0,-1.0
0,0,1.0
31,88,1.0
158,208,2.0
130,232,-1.0
-118,220,2.0
-97,232,-1.0
96,235,2.0
195,151,-1.0
-125,215,2.0
48,105,1.0
44,36,1.0
-75,239,2.0
-112,224,-1.0
132,234,-1.0
103,100,-1.0
2,9,1.0
-4,4,1.0
-98,152,-1.0
229,11,-1.0
40,256,-1.0
-67,26,-1.0
-6,12,1.0
-20,52,-1.0
0,0,-1.0
27,41,-1.0
-195,155,2.0
43,47,1.0
-13,15,1.0
-18,188,1.0
-62,257,-1.0
-26,62,-1.0
44,10,-1.0
-156,205,2.0
232,22,-1.0
94,100,-1.0
4,4,1.0
18,13,-1.0
-180,191,2.0
-148,206,-1.0
20,43,1.0
143,174,1.0
5,267,2.0
-176,185,2.0
138,210,-1.0
4,29,-1.0
-4,12,1.0
-15,263,2.0
34,42,1.0
-75,54,-1.0
0,0,1.0
0,21,-1.0
2,4,1.0
62,170,-1.0
234,37,-1.0
-55,125,1.0
118,4,-1.0
2,16,1.0
-13,10,1.0
-6,-1,1.0
27,44,-1.0
-137,252,-1.0
34,262,-1.0
108,206,-1.0
-143,211,-1.0
-17,27,-1.0
131,245,-1.0
58,281,2.0
