x,y,m
-156,207,-1.0
-150,163,-1.0
94,257,2.0
224,37,2.0
-96,201,1.0
138,209,-1.0
110,233,-1.0
-167,195,-1.0
225,31,-1.0
-48,110,1.0
-18,71,1.0
-5,6,1.0
-87,75,1.0
-109,81,1.0
-168,199,-1.0
48,120,1.0
-76,247,-1.0
-229,13,2.0
-4,257,-1.0
0,22,1.0
-78,54,1.0
98,149,-1.0
2,7,1.0
-72,67,-1.0
91,101,-1.0
156,197,-1.0
31,88,-1.0
-103,70,-1.0
-17,260,2.0
-18,12,-1.0
13,-4,-1.0
0,0,1.0
7,13,1.0
113,228,-1.0
-126,221,2.0
-6,17,1.0
7,11,1.0
98,107,1.0
-115,227,-1.0
-65,164,1.0
-83,58,-1.0
-5,59,-1.0
5,2,1.0
-104,99,1.0
-112,225,2.0
2,27,1.0
121,164,-1.0
-15,5,1.0
230,-7,-1.0
158,204,-1.0
118,226,2.0
107,-16,-1.0
49,77,-1.0
-34,72,1.0
136,226,-1.0
233,72,2.0
-23,9,-1.0
-126,221,-1.0
136,143,1.0
-36,246,2.0
107,138,1.0
15,245,-1.0
141,231,2.0
-15,10,1.0
-115,163,1.0
-115,114,-1.0
-93,231,-1.0
-89,11,1.0
94,3,-1.0
-97,101,1.0
127,227,2.0
-4,13,-1.0
224,32,-1.0
0,1,-1.0
-164,193,-1.0
-6,-5,1.0
112,232,2.0
23,25,1.0
-20,3,1.0
-25,245,-1.0
229,41,-1.0
-107,168,-1.0
49,75,1.0
-172,172,-1.0
56,58,1.0
-96,226,-1.0
-11,4,1.0
-234,68,2.0
161,198,2.0
54,22,-1.0
17,25,1.0
-7,8,1.0
0,13,1.0
-137,231,-1.0
-54,16,1.0
-126,45,-1.0
21,16,1.0
-9,8,1.0
120,226,2.0
-26,260,-1.0
-22,25,-1.0
-5,32,-1.0
-91,255,-1.0
16,14,1.0
9,169,-1.0
21,66,-1.0
0,0,1.0
206,135,-1.0
17,252,2.0
33,15,-1.0
-228,59,-1.0
-145,59,-1.0
55,252,-1.0
22,92,-1.0
157,242,-1.0
200,4,1.0
-6,4,1.0
-127,226,-1.0
61,13,-1.0
27,19,-1.0
0,0,1.0
195,180,2.0
38,19,1.0
32,5,-1.0
